dataset,p,component_1,component_2
DIA,5,0.05818754,0.94181246
DIA,5,0.05794415,0.94205585
DIA,5,0.18956401,0.81043599
DIA,5,0.08563010,0.91436990
DIA,5,0.05765202,0.94234798
DIA,5,0.05779771,0.94220229
DIA,5,0.16195875,0.83804125
DIA,5,0.06506722,0.93493278
DIA,5,0.05787058,0.94212942
DIA,5,0.05831932,0.94168068
DIA,5,0.05929274,0.94070726
DIA,5,0.05770170,0.94229830
DIA,5,0.06278349,0.93721651
DIA,5,0.08469850,0.91530150
DIA,5,0.06066684,0.93933316
DIA,5,0.05837808,0.94162192
DIA,5,0.07658724,0.92341276
DIA,5,0.29023424,0.70976576
DIA,5,0.06340257,0.93659743
DIA,5,0.05765830,0.94234170
DIA,5,0.05773936,0.94226064
DIA,5,0.05768994,0.94231006
DIA,5,0.05922790,0.94077210
DIA,5,0.06535351,0.93464649
DIA,5,0.05845003,0.94154997
DIA,5,0.08493516,0.91506484
DIA,5,0.05803646,0.94196354
DIA,5,0.09944959,0.90055041
DIA,5,0.05944521,0.94055479
DIA,5,0.06100611,0.93899389
DIA,5,0.09372374,0.90627626
DIA,5,0.06057206,0.93942794
DIA,5,0.07428375,0.92571625
DIA,5,0.07115048,0.92884952
DIA,5,0.06307546,0.93692454
DIA,5,0.06479551,0.93520449
DIA,5,0.05947311,0.94052689
DIA,5,0.05999045,0.94000955
DIA,5,0.10170541,0.89829459
DIA,5,0.06275491,0.93724509
DIA,5,0.05851900,0.94148100
DIA,5,0.20824616,0.79175384
DIA,5,0.05897220,0.94102780
DIA,5,0.07332373,0.92667627
DIA,5,0.05960761,0.94039239
DIA,5,0.09120873,0.90879127
DIA,5,0.05920990,0.94079010
DIA,5,0.06091928,0.93908072
DIA,5,0.06059128,0.93940872
DIA,5,0.06042902,0.93957098
DIA,5,0.05871538,0.94128462
DIA,5,0.18477642,0.81522358
DIA,5,0.07281525,0.92718475
DIA,5,0.05806661,0.94193339
DIA,5,0.05958663,0.94041337
DIA,5,0.06272700,0.93727300
DIA,5,0.06195035,0.93804965
DIA,5,0.06010701,0.93989299
DIA,5,0.09624528,0.90375472
DIA,5,0.05777348,0.94222652
DIA,5,0.05817389,0.94182611
DIA,5,0.06182452,0.93817548
DIA,5,0.05841218,0.94158782
DIA,5,0.06034815,0.93965185
DIA,5,0.06026616,0.93973384
DIA,5,0.06083160,0.93916840
DIA,5,0.06142986,0.93857014
DIA,5,0.06610712,0.93389288
