dataset,p,component_1,component_2
SPY,5,0.06804209,0.93195791
SPY,5,0.06781462,0.93218538
SPY,5,0.17323691,0.82676309
SPY,5,0.10137137,0.89862863
SPY,5,0.06846096,0.93153904
SPY,5,0.06785663,0.93214337
SPY,5,0.08197588,0.91802412
SPY,5,0.07542701,0.92457299
SPY,5,0.07081493,0.92918507
SPY,5,0.06861215,0.93138785
SPY,5,0.07143123,0.92856877
SPY,5,0.06817695,0.93182305
SPY,5,0.07700689,0.92299311
SPY,5,0.07432564,0.92567436
SPY,5,0.07412843,0.92587157
SPY,5,0.06767745,0.93232255
SPY,5,0.08793622,0.91206378
SPY,5,0.27679900,0.72320100
SPY,5,0.08702782,0.91297218
SPY,5,0.07067781,0.92932219
SPY,5,0.06787648,0.93212352
SPY,5,0.06785057,0.93214943
SPY,5,0.06896483,0.93103517
SPY,5,0.06786845,0.93213155
SPY,5,0.06853279,0.93146721
SPY,5,0.08401573,0.91598427
SPY,5,0.06779166,0.93220834
SPY,5,0.07518285,0.92481715
SPY,5,0.06779869,0.93220131
SPY,5,0.09986481,0.90013519
SPY,5,0.07066325,0.92933675
SPY,5,0.07126969,0.92873031
SPY,5,0.10180825,0.89819175
SPY,5,0.10383589,0.89616411
SPY,5,0.08448798,0.91551202
SPY,5,0.06804601,0.93195399
SPY,5,0.06765506,0.93234494
SPY,5,0.06788087,0.93211913
SPY,5,0.10117749,0.89882251
SPY,5,0.06883091,0.93116909
SPY,5,0.06765329,0.93234671
SPY,5,0.27455779,0.72544221
SPY,5,0.06775645,0.93224355
SPY,5,0.10077592,0.89922408
SPY,5,0.06808283,0.93191717
SPY,5,0.09082707,0.90917293
SPY,5,0.07365215,0.92634785
SPY,5,0.06766101,0.93233899
SPY,5,0.07045821,0.92954179
SPY,5,0.06783067,0.93216933
SPY,5,0.06796096,0.93203904
SPY,5,0.24761143,0.75238857
SPY,5,0.08407340,0.91592660
SPY,5,0.06799432,0.93200568
SPY,5,0.06766382,0.93233618
SPY,5,0.06874309,0.93125691
SPY,5,0.07516342,0.92483658
SPY,5,0.06951166,0.93048834
SPY,5,0.09264049,0.90735951
SPY,5,0.06787645,0.93212355
SPY,5,0.07504820,0.92495180
SPY,5,0.06774719,0.93225281
SPY,5,0.07004829,0.92995171
SPY,5,0.07207627,0.92792373
SPY,5,0.07253535,0.92746465
SPY,5,0.08622988,0.91377012
SPY,5,0.08185318,0.91814682
SPY,5,0.07532990,0.92467010
SPY,5,0.06861095,0.93138905
SPY,5,0.06875922,0.93124078
SPY,5,0.08045961,0.91954039
SPY,5,0.17731116,0.82268884
SPY,5,0.06851763,0.93148237
SPY,5,0.06823503,0.93176497
SPY,5,0.07190732,0.92809268
SPY,5,0.06975778,0.93024222
SPY,5,0.07038570,0.92961430
SPY,5,0.06939230,0.93060770
SPY,5,0.25233653,0.74766347
SPY,5,0.06824705,0.93175295
SPY,5,0.06799825,0.93200175
SPY,5,0.09706301,0.90293699
SPY,5,0.06775451,0.93224549
SPY,5,0.06869374,0.93130626
SPY,5,0.07164414,0.92835586
SPY,5,0.06822557,0.93177443
SPY,5,0.08073429,0.91926571
SPY,5,0.06833135,0.93166865
SPY,5,0.07371436,0.92628564
SPY,5,0.28779005,0.71220995
SPY,5,0.06817254,0.93182746
SPY,5,0.15010420,0.84989580
SPY,5,0.13881982,0.86118018
SPY,5,0.06769015,0.93230985
