dataset,p,component_1,component_2
QQQ,1,0.14628415,0.85371585
QQQ,1,0.26043928,0.73956072
QQQ,1,0.48961394,0.51038606
QQQ,1,0.30174227,0.69825773
QQQ,1,0.12600182,0.87399818
QQQ,1,0.82559505,0.17440495
QQQ,1,0.24984240,0.75015760
QQQ,1,0.94933251,0.05066749
QQQ,1,0.21070739,0.78929261
QQQ,1,0.73204178,0.26795822
QQQ,1,0.97826603,0.02173397
QQQ,1,0.96502369,0.03497631
QQQ,1,0.14110704,0.85889296
QQQ,1,0.39574495,0.60425505
QQQ,1,0.98427593,0.01572407
QQQ,1,0.26788389,0.73211611
QQQ,1,0.97858805,0.02141195
QQQ,1,0.72364899,0.27635101
QQQ,1,0.20375697,0.79624303
QQQ,1,0.12519139,0.87480861
QQQ,1,0.24815275,0.75184725
QQQ,1,0.12556695,0.87443305
QQQ,1,0.15242833,0.84757167
QQQ,1,0.51736450,0.48263550
QQQ,1,0.42950982,0.57049018
QQQ,1,0.43521728,0.56478272
QQQ,1,0.89260669,0.10739331
QQQ,1,0.18799196,0.81200804
QQQ,1,0.28161168,0.71838832
QQQ,1,0.99990435,0.00009565
QQQ,1,0.16568542,0.83431458
QQQ,1,0.14787942,0.85212058
QQQ,1,0.12530723,0.87469277
QQQ,1,0.14540985,0.85459015
QQQ,1,0.99552398,0.00447602
QQQ,1,0.18225570,0.81774430
QQQ,1,0.12741609,0.87258391
QQQ,1,0.99558014,0.00441986
QQQ,1,1.00000000,0.00000000
QQQ,1,0.82328071,0.17671929
QQQ,1,1.00000000,0.00000000
QQQ,1,1.00000000,0.00000000
QQQ,1,0.99996245,0.00003755
QQQ,1,0.99966628,0.00033372
QQQ,1,0.66894195,0.33105805
QQQ,1,0.99999789,0.00000211
QQQ,1,0.49395751,0.50604249
QQQ,1,0.33261169,0.66738831
QQQ,1,0.31074843,0.68925157
QQQ,1,0.13079767,0.86920233
QQQ,1,0.16930317,0.83069683
QQQ,1,0.99999898,0.00000102
QQQ,1,0.45786407,0.54213593
QQQ,1,0.99859376,0.00140624
QQQ,1,0.18297406,0.81702594
QQQ,1,0.99999919,0.00000081
QQQ,1,0.99993644,0.00006356
QQQ,1,0.95769943,0.04230057
QQQ,1,0.14510046,0.85489954
QQQ,1,0.99173870,0.00826130
QQQ,1,0.19967131,0.80032869
QQQ,1,0.36755129,0.63244871
QQQ,1,0.99873188,0.00126812
QQQ,1,0.96037457,0.03962543
QQQ,1,0.95653898,0.04346102
QQQ,1,0.95700066,0.04299934
QQQ,1,0.12728344,0.87271656
QQQ,1,0.18577532,0.81422468
QQQ,1,0.12755592,0.87244408
QQQ,1,0.49140651,0.50859349
QQQ,1,0.95027162,0.04972838
QQQ,1,0.13164251,0.86835749
QQQ,1,0.99999942,0.00000058
QQQ,1,0.84587272,0.15412728
QQQ,1,0.61526392,0.38473608
QQQ,1,0.14408875,0.85591125
QQQ,1,0.96518734,0.03481266
QQQ,1,0.16387414,0.83612586
QQQ,1,0.74218539,0.25781461
QQQ,1,0.99897928,0.00102072
QQQ,1,0.58099655,0.41900345
QQQ,1,0.33041659,0.66958341
QQQ,1,0.35629268,0.64370732
QQQ,1,0.97173459,0.02826541
QQQ,1,0.12575661,0.87424339
QQQ,1,0.97080826,0.02919174
QQQ,1,0.99915688,0.00084312
QQQ,1,0.99930202,0.00069798
QQQ,1,0.99999518,0.00000482
QQQ,1,0.78104728,0.21895272
QQQ,1,0.97448437,0.02551563
QQQ,1,0.99693784,0.00306216
QQQ,1,0.79702025,0.20297975
QQQ,1,0.67492695,0.32507305
QQQ,1,0.29822004,0.70177996
QQQ,1,0.13367136,0.86632864
QQQ,1,0.60497105,0.39502895
QQQ,1,0.99945247,0.00054753
QQQ,1,0.97844670,0.02155330
QQQ,1,0.52845740,0.47154260
QQQ,1,0.99999975,0.00000025
QQQ,1,0.95719251,0.04280749
QQQ,1,0.51986958,0.48013042
QQQ,1,0.97798409,0.02201591
QQQ,1,0.99707036,0.00292964
QQQ,1,0.99999988,0.00000012
QQQ,1,0.86726242,0.13273758
QQQ,1,1.00000000,0.00000000
QQQ,1,0.99598243,0.00401757
QQQ,1,1.00000000,0.00000000
QQQ,1,1.00000000,0.00000000
QQQ,1,0.99590135,0.00409865
QQQ,1,0.92323311,0.07676689
QQQ,1,0.88011261,0.11988739
QQQ,1,0.74473902,0.25526098
QQQ,1,0.99999999,0.00000001
QQQ,1,0.97022474,0.02977526
QQQ,1,0.99977403,0.00022597
QQQ,1,0.99532151,0.00467849
QQQ,1,0.33468342,0.66531658
QQQ,1,1.00000000,0.00000000
QQQ,1,0.20649222,0.79350778
QQQ,1,0.13139072,0.86860928
QQQ,1,0.86950933,0.13049067
QQQ,1,0.99212827,0.00787173
QQQ,1,0.98794281,0.01205719
QQQ,1,1.00000000,0.00000000
QQQ,1,0.99999949,0.00000051
QQQ,1,0.12857989,0.87142011
QQQ,1,0.99993517,0.00006483
QQQ,1,0.95145088,0.04854912
QQQ,1,0.53874355,0.46125645
QQQ,1,0.99948783,0.00051217
QQQ,1,0.99999439,0.00000561
QQQ,1,0.12598006,0.87401994
QQQ,1,1.00000000,0.00000000
QQQ,1,0.99999971,0.00000029
QQQ,1,0.84214414,0.15785586
QQQ,1,0.12549712,0.87450288
QQQ,1,1.00000000,0.00000000
QQQ,1,0.80567927,0.19432073
QQQ,1,0.99999718,0.00000282
QQQ,1,1.00000000,0.00000000
QQQ,1,0.16350370,0.83649630
QQQ,1,0.78929446,0.21070554
QQQ,1,0.62994913,0.37005087
QQQ,1,0.13267219,0.86732781
QQQ,1,0.14699452,0.85300548
QQQ,1,0.90765848,0.09234152
QQQ,1,0.98438499,0.01561501
QQQ,1,0.57134704,0.42865296
QQQ,1,0.39570125,0.60429875
QQQ,1,0.14087947,0.85912053
QQQ,1,0.99804280,0.00195720
QQQ,1,0.16932399,0.83067601
QQQ,1,0.13203759,0.86796241
QQQ,1,0.99927036,0.00072964
QQQ,1,0.99467193,0.00532807
QQQ,1,0.85022469,0.14977531
QQQ,1,0.30851916,0.69148084
QQQ,1,0.23594426,0.76405574
QQQ,1,0.73074530,0.26925470
QQQ,1,0.32768458,0.67231542
QQQ,1,0.65501503,0.34498497
QQQ,1,0.99929737,0.00070263
QQQ,1,0.98691145,0.01308855
QQQ,1,0.21624068,0.78375932
QQQ,1,0.23594280,0.76405720
QQQ,1,0.23889147,0.76110853
QQQ,1,0.99864177,0.00135823
QQQ,1,0.69773649,0.30226351
QQQ,1,0.46924412,0.53075588
QQQ,1,0.18318787,0.81681213
QQQ,1,0.64989452,0.35010548
QQQ,1,0.92100689,0.07899311
QQQ,1,0.99215341,0.00784659
QQQ,1,0.90006596,0.09993404
QQQ,1,0.98424508,0.01575492
QQQ,1,0.41358510,0.58641490
QQQ,1,0.13380375,0.86619625
QQQ,1,0.99984531,0.00015469
QQQ,1,0.99999980,0.00000020
QQQ,1,0.91189989,0.08810011
QQQ,1,0.21271131,0.78728869
QQQ,1,0.48519219,0.51480781
QQQ,1,0.99983545,0.00016455
QQQ,1,0.15406851,0.84593149
QQQ,1,0.80084493,0.19915507
QQQ,1,0.12648728,0.87351272
QQQ,1,0.13752886,0.86247114
QQQ,1,0.50235137,0.49764863
QQQ,1,0.18978590,0.81021410
QQQ,1,0.73638151,0.26361849
QQQ,1,0.12913131,0.87086869
QQQ,1,0.13481750,0.86518250
QQQ,1,0.66072283,0.33927717
QQQ,1,0.12742276,0.87257724
QQQ,1,0.15085116,0.84914884
QQQ,1,0.13040976,0.86959024
QQQ,1,0.37877596,0.62122404
QQQ,1,0.41366199,0.58633801
QQQ,1,0.12570101,0.87429899
QQQ,1,0.12521450,0.87478550
QQQ,1,0.13520885,0.86479115
QQQ,1,0.12548027,0.87451973
QQQ,1,0.95416956,0.04583044
QQQ,1,0.16661363,0.83338637
QQQ,1,0.94550694,0.05449306
QQQ,1,0.99671006,0.00328994
QQQ,1,0.60845768,0.39154232
QQQ,1,0.98845261,0.01154739
QQQ,1,0.79403454,0.20596546
QQQ,1,0.42830527,0.57169473
QQQ,1,0.69193104,0.30806896
QQQ,1,0.12525319,0.87474681
QQQ,1,0.66770222,0.33229778
QQQ,1,0.49070004,0.50929996
QQQ,1,0.99881576,0.00118424
QQQ,1,0.32849912,0.67150088
QQQ,1,0.77861011,0.22138989
QQQ,1,0.13846879,0.86153121
QQQ,1,0.95334399,0.04665601
QQQ,1,0.35884653,0.64115347
QQQ,1,0.14527091,0.85472909
QQQ,1,0.98372912,0.01627088
QQQ,1,0.99905987,0.00094013
QQQ,1,0.79951952,0.20048048
QQQ,1,0.99941650,0.00058350
QQQ,1,0.80557083,0.19442917
QQQ,1,0.13720363,0.86279637
QQQ,1,0.98912741,0.01087259
QQQ,1,0.15224022,0.84775978
QQQ,1,0.99999942,0.00000058
QQQ,1,0.52066850,0.47933150
QQQ,1,0.87548517,0.12451483
QQQ,1,1.00000000,0.00000000
QQQ,1,0.18169741,0.81830259
QQQ,1,0.99964993,0.00035007
QQQ,1,0.14477928,0.85522072
QQQ,1,1.00000000,0.00000000
QQQ,1,0.53623250,0.46376750
QQQ,1,0.12531025,0.87468975
QQQ,1,0.99990047,0.00009953
QQQ,1,0.99999998,0.00000002
QQQ,1,0.69886774,0.30113226
QQQ,1,0.12525961,0.87474039
QQQ,1,0.99777765,0.00222235
QQQ,1,0.99999999,0.00000001
QQQ,1,0.14307819,0.85692181
QQQ,1,0.23815768,0.76184232
QQQ,1,0.28572757,0.71427243
QQQ,1,0.15690818,0.84309182
QQQ,1,0.13630670,0.86369330
QQQ,1,1.00000000,0.00000000
QQQ,1,0.13880845,0.86119155
QQQ,1,0.99999925,0.00000075
QQQ,1,0.88714970,0.11285030
QQQ,1,1.00000000,0.00000000
QQQ,1,0.79774026,0.20225974
QQQ,1,0.99999998,0.00000002
QQQ,1,0.13466902,0.86533098
QQQ,1,0.99959304,0.00040696
QQQ,1,0.13428690,0.86571310
QQQ,1,0.99995012,0.00004988
QQQ,1,0.99999911,0.00000089
QQQ,1,0.19152957,0.80847043
QQQ,1,1.00000000,0.00000000
QQQ,1,0.99972681,0.00027319
QQQ,1,0.12621744,0.87378256
QQQ,1,0.37774656,0.62225344
QQQ,1,0.13540186,0.86459814
QQQ,1,1.00000000,0.00000000
QQQ,1,0.98539141,0.01460859
QQQ,1,0.80254243,0.19745757
QQQ,1,0.63543441,0.36456559
QQQ,1,1.00000000,0.00000000
QQQ,1,0.98107355,0.01892645
QQQ,1,0.99984364,0.00015636
QQQ,1,0.99999858,0.00000142
QQQ,1,0.86208026,0.13791974
QQQ,1,0.12534209,0.87465791
QQQ,1,1.00000000,0.00000000
QQQ,1,1.00000000,0.00000000
QQQ,1,0.12947690,0.87052310
QQQ,1,1.00000000,0.00000000
QQQ,1,0.20617805,0.79382195
QQQ,1,0.23238927,0.76761073
QQQ,1,0.12629576,0.87370424
