dataset,p,component_1,component_2
IWN,1,0.06040623,0.93959377
IWN,1,0.06804745,0.93195255
IWN,1,0.05524550,0.94475450
IWN,1,0.04673677,0.95326323
IWN,1,0.04458999,0.95541001
IWN,1,0.06549662,0.93450338
IWN,1,0.10412404,0.89587596
IWN,1,0.07031887,0.92968113
IWN,1,0.09437567,0.90562433
IWN,1,0.11966028,0.88033972
IWN,1,0.11824524,0.88175476
IWN,1,0.04782249,0.95217751
IWN,1,0.05965108,0.94034892
IWN,1,0.05415301,0.94584699
IWN,1,0.04483468,0.95516532
IWN,1,0.05811125,0.94188875
IWN,1,0.07591540,0.92408460
IWN,1,0.07187502,0.92812498
IWN,1,0.04462384,0.95537616
IWN,1,0.04693443,0.95306557
IWN,1,0.13564746,0.86435254
IWN,1,0.04462842,0.95537158
IWN,1,0.06542648,0.93457352
IWN,1,0.05534697,0.94465303
IWN,1,0.13422485,0.86577515
IWN,1,0.05847280,0.94152720
IWN,1,0.04496080,0.95503920
IWN,1,0.05069934,0.94930066
IWN,1,0.04586786,0.95413214
IWN,1,0.04469223,0.95530777
IWN,1,0.09240477,0.90759523
IWN,1,0.12903346,0.87096654
IWN,1,0.16376795,0.83623205
IWN,1,0.13272039,0.86727961
IWN,1,0.05190033,0.94809967
IWN,1,0.04792778,0.95207222
IWN,1,0.05031794,0.94968206
IWN,1,0.05590977,0.94409023
IWN,1,0.18235085,0.81764915
IWN,1,0.09297663,0.90702337
IWN,1,0.04457990,0.95542010
IWN,1,0.12699907,0.87300093
IWN,1,0.04681002,0.95318998
IWN,1,0.04703798,0.95296202
IWN,1,0.04475644,0.95524356
IWN,1,0.04458158,0.95541842
IWN,1,0.04987478,0.95012522
IWN,1,0.04980078,0.95019922
IWN,1,0.04557613,0.95442387
IWN,1,0.04912108,0.95087892
IWN,1,0.05451752,0.94548248
IWN,1,0.06194025,0.93805975
IWN,1,0.06534159,0.93465841
IWN,1,0.05373895,0.94626105
IWN,1,0.06980724,0.93019276
IWN,1,0.06660795,0.93339205
IWN,1,0.09380163,0.90619837
IWN,1,0.05955803,0.94044197
IWN,1,0.04571078,0.95428922
IWN,1,0.04620312,0.95379688
IWN,1,0.04803413,0.95196587
IWN,1,0.04457631,0.95542369
IWN,1,0.04930952,0.95069048
IWN,1,0.07736522,0.92263478
IWN,1,0.04820354,0.95179646
IWN,1,0.13633150,0.86366850
IWN,1,0.08191845,0.91808155
IWN,1,0.22960367,0.77039633
IWN,1,0.04975778,0.95024222
IWN,1,0.11834797,0.88165203
IWN,1,0.04972106,0.95027894
IWN,1,0.04760538,0.95239462
IWN,1,0.04482104,0.95517896
IWN,1,0.06469659,0.93530341
IWN,1,0.04502669,0.95497331
IWN,1,0.05478590,0.94521410
IWN,1,0.05597970,0.94402030
IWN,1,0.10550069,0.89449931
IWN,1,0.04513861,0.95486139
IWN,1,0.14072272,0.85927728
IWN,1,0.05188782,0.94811218
IWN,1,0.07411761,0.92588239
IWN,1,0.04675716,0.95324284
IWN,1,0.09942937,0.90057063
IWN,1,0.05269499,0.94730501
IWN,1,0.10913634,0.89086366
IWN,1,0.11949110,0.88050890
IWN,1,0.15148725,0.84851275
IWN,1,0.07519318,0.92480682
IWN,1,0.31912805,0.68087195
IWN,1,0.04581225,0.95418775
IWN,1,0.08243886,0.91756114
IWN,1,0.04604389,0.95395611
IWN,1,0.08115225,0.91884775
IWN,1,0.07559417,0.92440583
IWN,1,0.04851476,0.95148524
IWN,1,0.10623908,0.89376092
IWN,1,0.06918044,0.93081956
IWN,1,0.04595804,0.95404196
IWN,1,0.06232549,0.93767451
IWN,1,0.04470171,0.95529829
IWN,1,0.04471616,0.95528384
IWN,1,0.36606221,0.63393779
IWN,1,0.04511747,0.95488253
IWN,1,0.04592489,0.95407511
IWN,1,0.16356793,0.83643207
IWN,1,0.09550334,0.90449666
IWN,1,0.05035880,0.94964120
IWN,1,0.05400170,0.94599830
IWN,1,0.04570453,0.95429547
IWN,1,0.10745258,0.89254742
IWN,1,0.05108868,0.94891132
IWN,1,0.40347658,0.59652342
IWN,1,0.04543129,0.95456871
IWN,1,0.13679887,0.86320113
IWN,1,0.04549088,0.95450912
IWN,1,0.04859230,0.95140770
IWN,1,0.04766671,0.95233329
IWN,1,0.07938731,0.92061269
IWN,1,0.04724906,0.95275094
IWN,1,0.05664496,0.94335504
IWN,1,0.04612213,0.95387787
IWN,1,0.13912829,0.86087171
IWN,1,0.74503210,0.25496790
IWN,1,0.08806422,0.91193578
IWN,1,0.04462610,0.95537390
IWN,1,0.10380664,0.89619336
IWN,1,0.05892839,0.94107161
IWN,1,0.26954484,0.73045516
IWN,1,0.07055468,0.92944532
IWN,1,0.07688647,0.92311353
IWN,1,0.05711002,0.94288998
IWN,1,0.08319897,0.91680103
IWN,1,0.05137532,0.94862468
IWN,1,0.65556353,0.34443647
IWN,1,0.40033785,0.59966215
IWN,1,0.24859036,0.75140964
IWN,1,0.99901254,0.00098746
IWN,1,0.98744698,0.01255302
IWN,1,0.04649331,0.95350669
IWN,1,0.22893280,0.77106720
IWN,1,0.99257133,0.00742867
IWN,1,0.04457677,0.95542323
IWN,1,0.16274632,0.83725368
IWN,1,0.05530198,0.94469802
IWN,1,0.71199363,0.28800637
IWN,1,0.21498367,0.78501633
IWN,1,0.70986985,0.29013015
IWN,1,0.07782383,0.92217617
IWN,1,0.10233900,0.89766100
IWN,1,0.04464529,0.95535471
IWN,1,0.04658739,0.95341261
IWN,1,0.49409371,0.50590629
IWN,1,0.43403016,0.56596984
IWN,1,0.04677788,0.95322212
IWN,1,0.06945529,0.93054471
IWN,1,0.05319138,0.94680862
IWN,1,0.05124508,0.94875492
IWN,1,0.06675843,0.93324157
IWN,1,0.21083066,0.78916934
IWN,1,0.10848636,0.89151364
IWN,1,0.04525481,0.95474519
IWN,1,0.05934425,0.94065575
IWN,1,0.69523163,0.30476837
IWN,1,0.04607281,0.95392719
IWN,1,0.04600668,0.95399332
IWN,1,0.19603646,0.80396354
IWN,1,0.04464638,0.95535362
IWN,1,0.17442168,0.82557832
IWN,1,0.05446485,0.94553515
IWN,1,0.04590779,0.95409221
IWN,1,0.04457866,0.95542134
IWN,1,0.12514498,0.87485502
IWN,1,0.06542672,0.93457328
IWN,1,0.06716742,0.93283258
IWN,1,0.04891813,0.95108187
IWN,1,0.13518425,0.86481575
IWN,1,0.28503313,0.71496687
IWN,1,0.05034318,0.94965682
IWN,1,0.26676461,0.73323539
IWN,1,0.06252781,0.93747219
IWN,1,0.16385741,0.83614259
IWN,1,0.32517320,0.67482680
IWN,1,0.47663126,0.52336874
IWN,1,0.04993037,0.95006963
IWN,1,0.16374105,0.83625895
IWN,1,0.08837594,0.91162406
IWN,1,0.06729379,0.93270621
IWN,1,0.13179151,0.86820849
IWN,1,0.85540488,0.14459512
IWN,1,0.05860288,0.94139712
IWN,1,0.99965218,0.00034782
IWN,1,0.05133531,0.94866469
IWN,1,0.99974877,0.00025123
IWN,1,0.05028423,0.94971577
IWN,1,0.65535532,0.34464468
IWN,1,0.17850820,0.82149180
IWN,1,0.38197813,0.61802187
IWN,1,0.04827014,0.95172986
IWN,1,0.07424454,0.92575546
IWN,1,0.08828897,0.91171103
IWN,1,0.05816234,0.94183766
IWN,1,0.04531858,0.95468142
IWN,1,0.06416564,0.93583436
IWN,1,0.04465325,0.95534675
IWN,1,0.05086255,0.94913745
IWN,1,0.14026325,0.85973675
IWN,1,0.04477448,0.95522552
IWN,1,0.08672404,0.91327596
IWN,1,0.11326369,0.88673631
IWN,1,0.04524700,0.95475300
IWN,1,0.06363046,0.93636954
IWN,1,0.05442841,0.94557159
IWN,1,0.18661139,0.81338861
IWN,1,0.19593737,0.80406263
IWN,1,0.08514228,0.91485772
IWN,1,0.06313844,0.93686156
IWN,1,0.05334238,0.94665762
IWN,1,0.07512644,0.92487356
IWN,1,0.04918055,0.95081945
IWN,1,0.08099891,0.91900109
IWN,1,0.41688145,0.58311855
IWN,1,0.10645391,0.89354609
IWN,1,0.06125703,0.93874297
IWN,1,0.05180459,0.94819541
IWN,1,0.15667399,0.84332601
IWN,1,0.44495311,0.55504689
IWN,1,0.04514055,0.95485945
IWN,1,0.04479527,0.95520473
IWN,1,0.04704769,0.95295231
IWN,1,0.10978840,0.89021160
IWN,1,0.05424959,0.94575041
IWN,1,0.04987255,0.95012745
IWN,1,0.12903529,0.87096471
IWN,1,0.12518488,0.87481512
IWN,1,0.04513705,0.95486295
IWN,1,0.06616968,0.93383032
IWN,1,0.13261874,0.86738126
IWN,1,0.04900478,0.95099522
IWN,1,0.04533317,0.95466683
IWN,1,0.11822756,0.88177244
IWN,1,0.04457724,0.95542276
IWN,1,0.06082674,0.93917326
IWN,1,0.04566625,0.95433375
IWN,1,0.04457774,0.95542226
IWN,1,0.04515821,0.95484179
IWN,1,0.08315064,0.91684936
IWN,1,0.04490237,0.95509763
IWN,1,0.04514957,0.95485043
IWN,1,0.18421838,0.81578162
IWN,1,0.04617707,0.95382293
IWN,1,0.12112398,0.87887602
IWN,1,0.06574606,0.93425394
IWN,1,0.08678674,0.91321326
IWN,1,0.08041868,0.91958132
IWN,1,0.04634003,0.95365997
IWN,1,0.04563976,0.95436024
IWN,1,0.04614111,0.95385889
IWN,1,0.04492938,0.95507062
IWN,1,0.04568671,0.95431329
IWN,1,0.12752604,0.87247396
IWN,1,0.06280795,0.93719205
IWN,1,0.05115176,0.94884824
IWN,1,0.04667931,0.95332069
IWN,1,0.10670225,0.89329775
IWN,1,0.09985187,0.90014813
IWN,1,0.06433924,0.93566076
IWN,1,0.04926525,0.95073475
IWN,1,0.26847205,0.73152795
IWN,1,0.04822923,0.95177077
IWN,1,0.04895877,0.95104123
IWN,1,0.04467551,0.95532449
IWN,1,0.04948945,0.95051055
