dataset,p,component_1,component_2
IWN,2,0.04978030,0.95021970
IWN,2,0.25480606,0.74519394
IWN,2,0.06209950,0.93790050
IWN,2,0.16979298,0.83020702
IWN,2,0.32796973,0.67203027
IWN,2,0.48943888,0.51056112
IWN,2,0.05053292,0.94946708
IWN,2,0.17135784,0.82864216
IWN,2,0.08775858,0.91224142
IWN,2,0.06852901,0.93147099
IWN,2,0.12822209,0.87177791
IWN,2,0.84851700,0.15148300
IWN,2,0.05947346,0.94052654
IWN,2,0.99956450,0.00043550
IWN,2,0.05154259,0.94845741
IWN,2,0.99980945,0.00019055
IWN,2,0.05028418,0.94971582
IWN,2,0.61192453,0.38807547
IWN,2,0.17917572,0.82082428
IWN,2,0.36118011,0.63881989
IWN,2,0.04870419,0.95129581
IWN,2,0.07185844,0.92814156
IWN,2,0.08853193,0.91146807
IWN,2,0.05755041,0.94244959
IWN,2,0.04543326,0.95456674
IWN,2,0.06348939,0.93651061
IWN,2,0.04463685,0.95536315
IWN,2,0.05112107,0.94887893
IWN,2,0.14006655,0.85993345
IWN,2,0.04477737,0.95522263
IWN,2,0.08449250,0.91550750
IWN,2,0.11276689,0.88723311
IWN,2,0.04535828,0.95464172
IWN,2,0.06259536,0.93740464
IWN,2,0.05427774,0.94572226
IWN,2,0.18897125,0.81102875
IWN,2,0.19214720,0.80785280
IWN,2,0.08726868,0.91273132
IWN,2,0.06423353,0.93576647
IWN,2,0.05275388,0.94724612
IWN,2,0.07416177,0.92583823
IWN,2,0.04932305,0.95067695
IWN,2,0.08198283,0.91801717
IWN,2,0.41902519,0.58097481
IWN,2,0.10794231,0.89205769
IWN,2,0.05965506,0.94034494
IWN,2,0.05127855,0.94872145
IWN,2,0.15842750,0.84157250
IWN,2,0.43908339,0.56091661
IWN,2,0.04497520,0.95502480
IWN,2,0.04465115,0.95534885
IWN,2,0.04696154,0.95303846
IWN,2,0.10963920,0.89036080
IWN,2,0.05401257,0.94598743
IWN,2,0.05028095,0.94971905
IWN,2,0.12730073,0.87269927
IWN,2,0.12377305,0.87622695
IWN,2,0.04498089,0.95501911
IWN,2,0.06488725,0.93511275
IWN,2,0.13168921,0.86831079
IWN,2,0.04872701,0.95127299
IWN,2,0.04514508,0.95485492
IWN,2,0.11889849,0.88110151
IWN,2,0.04455584,0.95544416
IWN,2,0.06166562,0.93833438
IWN,2,0.04562564,0.95437436
IWN,2,0.04455358,0.95544642
IWN,2,0.04511527,0.95488473
IWN,2,0.08296823,0.91703177
IWN,2,0.04488690,0.95511310
IWN,2,0.04524215,0.95475785
IWN,2,0.18367182,0.81632818
IWN,2,0.04618823,0.95381177
IWN,2,0.11707048,0.88292952
IWN,2,0.06542044,0.93457956
IWN,2,0.08847179,0.91152821
IWN,2,0.08140832,0.91859168
IWN,2,0.04650529,0.95349471
IWN,2,0.04577510,0.95422490
IWN,2,0.04607714,0.95392286
IWN,2,0.04492218,0.95507782
IWN,2,0.04569871,0.95430129
IWN,2,0.12733412,0.87266588
IWN,2,0.06251295,0.93748705
IWN,2,0.05057330,0.94942670
IWN,2,0.04650039,0.95349961
IWN,2,0.10547775,0.89452225
IWN,2,0.09902070,0.90097930
IWN,2,0.06527498,0.93472502
IWN,2,0.04958877,0.95041123
IWN,2,0.27239109,0.72760891
IWN,2,0.04811003,0.95188997
IWN,2,0.04951225,0.95048775
IWN,2,0.04463298,0.95536702
IWN,2,0.04957700,0.95042300
IWN,2,0.05064960,0.94935040
IWN,2,0.22304064,0.77695936
IWN,2,0.05757608,0.94242392
IWN,2,0.06550828,0.93449172
IWN,2,0.04830810,0.95169190
IWN,2,0.05710754,0.94289246
IWN,2,0.07316732,0.92683268
IWN,2,0.08489107,0.91510893
IWN,2,0.04755068,0.95244932
IWN,2,0.04744463,0.95255537
IWN,2,0.12613937,0.87386063
IWN,2,0.26702324,0.73297676
IWN,2,0.08345721,0.91654279
IWN,2,0.05823761,0.94176239
IWN,2,0.04688302,0.95311698
IWN,2,0.04591566,0.95408434
IWN,2,0.04485718,0.95514282
IWN,2,0.04779454,0.95220546
IWN,2,0.04682641,0.95317359
IWN,2,0.05213631,0.94786369
IWN,2,0.05098145,0.94901855
IWN,2,0.13008227,0.86991773
IWN,2,0.06495290,0.93504710
IWN,2,0.04486450,0.95513550
IWN,2,0.10037673,0.89962327
IWN,2,0.05658599,0.94341401
IWN,2,0.11032110,0.88967890
IWN,2,0.07248877,0.92751123
IWN,2,0.07687492,0.92312508
IWN,2,0.04776273,0.95223727
IWN,2,0.05272070,0.94727930
IWN,2,0.08244615,0.91755385
IWN,2,0.05971412,0.94028588
IWN,2,0.04611925,0.95388075
IWN,2,0.05529553,0.94470447
IWN,2,0.04467604,0.95532396
IWN,2,0.05330231,0.94669769
IWN,2,0.05140430,0.94859570
IWN,2,0.25194785,0.74805215
IWN,2,0.04473801,0.95526199
IWN,2,0.04455547,0.95544453
IWN,2,0.11591991,0.88408009
IWN,2,0.10996154,0.89003846
IWN,2,0.06008788,0.93991212
IWN,2,0.05904825,0.94095175
IWN,2,0.05256182,0.94743818
IWN,2,0.15886317,0.84113683
IWN,2,0.04591534,0.95408466
IWN,2,0.04455858,0.95544142
IWN,2,0.06592699,0.93407301
IWN,2,0.04805014,0.95194986
IWN,2,0.13614716,0.86385284
IWN,2,0.04679539,0.95320461
IWN,2,0.04489625,0.95510375
IWN,2,0.05759297,0.94240703
IWN,2,0.10366305,0.89633695
IWN,2,0.04597178,0.95402822
IWN,2,0.04490285,0.95509715
