dataset,p,component_1,component_2
QQQ,3,0.14250186,0.85749814
QQQ,3,0.52712088,0.47287912
QQQ,3,0.80568960,0.19431040
QQQ,3,0.25653598,0.74346402
QQQ,3,0.99648289,0.00351711
QQQ,3,0.95395681,0.04604319
QQQ,3,0.99356827,0.00643173
QQQ,3,0.16065291,0.83934709
QQQ,3,0.99596738,0.00403262
QQQ,3,0.13664346,0.86335654
QQQ,3,0.27680133,0.72319867
QQQ,3,0.54750631,0.45249369
QQQ,3,0.99351142,0.00648858
QQQ,3,0.13523896,0.86476104
QQQ,3,0.16855974,0.83144026
QQQ,3,0.16299255,0.83700745
QQQ,3,0.14551350,0.85448650
QQQ,3,0.14546178,0.85453822
QQQ,3,0.27441087,0.72558913
QQQ,3,0.99342884,0.00657116
QQQ,3,0.20660403,0.79339597
QQQ,3,0.95821090,0.04178910
QQQ,3,0.99998867,0.00001133
QQQ,3,0.47181844,0.52818156
QQQ,3,0.99995047,0.00004953
QQQ,3,0.94488594,0.05511406
QQQ,3,0.40741316,0.59258684
QQQ,3,0.82320939,0.17679061
QQQ,3,0.26131403,0.73868597
QQQ,3,0.98861828,0.01138172
QQQ,3,0.20200530,0.79799470
QQQ,3,0.13170050,0.86829950
QQQ,3,0.14220409,0.85779591
QQQ,3,0.35888045,0.64111955
QQQ,3,0.92595817,0.07404183
QQQ,3,0.99400027,0.00599973
QQQ,3,0.26581162,0.73418838
QQQ,3,0.18444637,0.81555363
QQQ,3,0.37122584,0.62877416
QQQ,3,0.66030222,0.33969778
QQQ,3,0.38708330,0.61291670
QQQ,3,0.49690401,0.50309599
QQQ,3,0.36389253,0.63610747
QQQ,3,0.13443630,0.86556370
QQQ,3,0.28828227,0.71171773
QQQ,3,0.87975569,0.12024431
QQQ,3,0.19723023,0.80276977
QQQ,3,0.89018772,0.10981228
QQQ,3,0.99265674,0.00734326
QQQ,3,0.77275358,0.22724642
QQQ,3,0.12251390,0.87748610
QQQ,3,0.40351883,0.59648117
QQQ,3,0.61262492,0.38737508
QQQ,3,0.36568542,0.63431458
QQQ,3,0.29086806,0.70913194
QQQ,3,0.94534443,0.05465557
QQQ,3,0.65146691,0.34853309
QQQ,3,0.70913209,0.29086791
QQQ,3,0.37929153,0.62070847
QQQ,3,0.22026831,0.77973169
QQQ,3,0.33896001,0.66103999
QQQ,3,0.55982221,0.44017779
QQQ,3,0.25319930,0.74680070
QQQ,3,0.99998989,0.00001011
QQQ,3,0.29657070,0.70342930
QQQ,3,0.16070694,0.83929306
QQQ,3,0.96226285,0.03773715
QQQ,3,0.92094452,0.07905548
