dataset,p,component_1,component_2
SPY,3,0.06957241,0.93042759
SPY,3,0.06975671,0.93024329
SPY,3,0.06934927,0.93065073
SPY,3,0.06917154,0.93082846
SPY,3,0.17623292,0.82376708
SPY,3,0.10301324,0.89698676
SPY,3,0.06978279,0.93021721
SPY,3,0.06928837,0.93071163
SPY,3,0.08626527,0.91373473
SPY,3,0.07879806,0.92120194
SPY,3,0.07201008,0.92798992
SPY,3,0.07008609,0.92991391
SPY,3,0.07350637,0.92649363
SPY,3,0.06978912,0.93021088
SPY,3,0.07846199,0.92153801
SPY,3,0.07631269,0.92368731
SPY,3,0.07525162,0.92474838
SPY,3,0.06903466,0.93096534
SPY,3,0.08890069,0.91109931
SPY,3,0.28570863,0.71429137
SPY,3,0.08848656,0.91151344
SPY,3,0.07187818,0.92812182
SPY,3,0.06912263,0.93087737
SPY,3,0.06902687,0.93097313
SPY,3,0.06981528,0.93018472
SPY,3,0.06917551,0.93082449
SPY,3,0.06989408,0.93010592
SPY,3,0.08579724,0.91420276
SPY,3,0.06919546,0.93080454
SPY,3,0.07694870,0.92305130
SPY,3,0.06921252,0.93078748
SPY,3,0.10029064,0.89970936
SPY,3,0.07199687,0.92800313
SPY,3,0.07313020,0.92686980
SPY,3,0.10364946,0.89635054
SPY,3,0.10368245,0.89631755
SPY,3,0.08765052,0.91234948
SPY,3,0.06936355,0.93063645
SPY,3,0.06906516,0.93093484
SPY,3,0.06920045,0.93079955
SPY,3,0.10297353,0.89702647
SPY,3,0.07036083,0.92963917
SPY,3,0.06903067,0.93096933
SPY,3,0.28170375,0.71829625
SPY,3,0.06924873,0.93075127
SPY,3,0.10355110,0.89644890
SPY,3,0.06956623,0.93043377
SPY,3,0.08923225,0.91076775
SPY,3,0.07619671,0.92380329
SPY,3,0.06908770,0.93091230
SPY,3,0.07212128,0.92787872
SPY,3,0.06913785,0.93086215
SPY,3,0.06936919,0.93063081
SPY,3,0.25750111,0.74249889
SPY,3,0.08629583,0.91370417
SPY,3,0.06937497,0.93062503
SPY,3,0.06902606,0.93097394
SPY,3,0.07095707,0.92904293
SPY,3,0.07838830,0.92161170
SPY,3,0.07081092,0.92918908
SPY,3,0.09484400,0.90515600
SPY,3,0.06930819,0.93069181
SPY,3,0.07723027,0.92276973
SPY,3,0.06913842,0.93086158
SPY,3,0.07095939,0.92904061
SPY,3,0.07399119,0.92600881
SPY,3,0.07368072,0.92631928
SPY,3,0.08780494,0.91219506
SPY,3,0.08385680,0.91614320
SPY,3,0.07667948,0.92332052
SPY,3,0.07009130,0.92990870
SPY,3,0.06987637,0.93012363
SPY,3,0.08274804,0.91725196
SPY,3,0.18752187,0.81247813
SPY,3,0.06982524,0.93017476
SPY,3,0.06956118,0.93043882
SPY,3,0.07274476,0.92725524
SPY,3,0.07036674,0.92963326
SPY,3,0.07215303,0.92784697
SPY,3,0.07083204,0.92916796
SPY,3,0.25464848,0.74535152
SPY,3,0.06954071,0.93045929
SPY,3,0.06935066,0.93064934
SPY,3,0.09858111,0.90141889
SPY,3,0.06902284,0.93097716
SPY,3,0.06978340,0.93021660
SPY,3,0.07318276,0.92681724
SPY,3,0.06941885,0.93058115
SPY,3,0.08183766,0.91816234
SPY,3,0.06968128,0.93031872
SPY,3,0.07567104,0.92432896
SPY,3,0.29894339,0.70105661
SPY,3,0.06971792,0.93028208
SPY,3,0.15225355,0.84774645
SPY,3,0.14515986,0.85484014
SPY,3,0.06933403,0.93066597
SPY,3,0.06959978,0.93040022
SPY,3,0.16744042,0.83255958
SPY,3,0.07012179,0.92987821
SPY,3,0.63569593,0.36430407
SPY,3,0.06911827,0.93088173
SPY,3,0.06973526,0.93026474
SPY,3,0.09261758,0.90738242
SPY,3,0.06970606,0.93029394
SPY,3,0.08406239,0.91593761
SPY,3,0.07305777,0.92694223
SPY,3,0.09264343,0.90735657
SPY,3,0.08158463,0.91841537
SPY,3,0.16504257,0.83495743
SPY,3,0.06909275,0.93090725
SPY,3,0.08085463,0.91914537
SPY,3,0.07182332,0.92817668
SPY,3,0.15933675,0.84066325
SPY,3,0.06989958,0.93010042
SPY,3,0.06918583,0.93081417
SPY,3,0.22034803,0.77965197
SPY,3,0.06917740,0.93082260
SPY,3,0.18271641,0.81728359
SPY,3,0.07458267,0.92541733
SPY,3,0.08014165,0.91985835
SPY,3,0.06983131,0.93016869
SPY,3,0.06921592,0.93078408
SPY,3,0.07584781,0.92415219
SPY,3,0.07757246,0.92242754
SPY,3,0.22842715,0.77157285
SPY,3,0.08991700,0.91008300
SPY,3,0.07006087,0.92993913
SPY,3,0.07985288,0.92014712
SPY,3,0.18070443,0.81929557
SPY,3,0.06956686,0.93043314
SPY,3,0.06926591,0.93073409
SPY,3,0.08581531,0.91418469
SPY,3,0.10818491,0.89181509
SPY,3,0.17886830,0.82113170
SPY,3,0.07148178,0.92851822
SPY,3,0.06960094,0.93039906
SPY,3,0.09807189,0.90192811
SPY,3,0.11249334,0.88750666
SPY,3,0.06907322,0.93092678
SPY,3,0.11532986,0.88467014
SPY,3,0.08475149,0.91524851
SPY,3,0.07361127,0.92638873
SPY,3,0.07132508,0.92867492
SPY,3,0.07216893,0.92783107
SPY,3,0.06925214,0.93074786
SPY,3,0.06947487,0.93052513
SPY,3,0.07195479,0.92804521
SPY,3,0.06906381,0.93093619
SPY,3,0.06906195,0.93093805
SPY,3,0.07136527,0.92863473
SPY,3,0.08778582,0.91221418
SPY,3,0.11156723,0.88843277
SPY,3,0.06965649,0.93034351
SPY,3,0.07253229,0.92746771
SPY,3,0.06979750,0.93020250
SPY,3,0.06946001,0.93053999
SPY,3,0.07236467,0.92763533
SPY,3,0.07042056,0.92957944
SPY,3,0.07569812,0.92430188
SPY,3,0.06924595,0.93075405
SPY,3,0.08733905,0.91266095
SPY,3,0.07398662,0.92601338
SPY,3,0.07155587,0.92844413
SPY,3,0.07235059,0.92764941
SPY,3,0.06970669,0.93029331
SPY,3,0.08039643,0.91960357
SPY,3,0.13597405,0.86402595
SPY,3,0.07397371,0.92602629
SPY,3,0.06957036,0.93042964
SPY,3,0.07765945,0.92234055
SPY,3,0.07387073,0.92612927
SPY,3,0.08297062,0.91702938
SPY,3,0.08325312,0.91674688
SPY,3,0.13656043,0.86343957
SPY,3,0.07933702,0.92066298
SPY,3,0.07787772,0.92212228
SPY,3,0.07895176,0.92104824
SPY,3,0.08341172,0.91658828
SPY,3,0.10360676,0.89639324
SPY,3,0.06918307,0.93081693
SPY,3,0.07045643,0.92954357
SPY,3,0.06921012,0.93078988
SPY,3,0.06931534,0.93068466
SPY,3,0.10029698,0.89970302
SPY,3,0.06959350,0.93040650
SPY,3,0.08249069,0.91750931
SPY,3,0.06915082,0.93084918
SPY,3,0.06959642,0.93040358
SPY,3,0.07293163,0.92706837
SPY,3,0.06970745,0.93029255
SPY,3,0.11167204,0.88832796
SPY,3,0.07002040,0.92997960
SPY,3,0.07363320,0.92636680
SPY,3,0.09265989,0.90734011
SPY,3,0.07753620,0.92246380
SPY,3,0.07921229,0.92078771
SPY,3,0.09128491,0.90871509
SPY,3,0.07622188,0.92377812
SPY,3,0.08379280,0.91620720
SPY,3,0.08501043,0.91498957
SPY,3,0.07283855,0.92716145
SPY,3,0.06936918,0.93063082
SPY,3,0.11310133,0.88689867
SPY,3,0.13990062,0.86009938
SPY,3,0.09192505,0.90807495
SPY,3,0.09629247,0.90370753
SPY,3,0.07524282,0.92475718
SPY,3,0.10621878,0.89378122
SPY,3,0.10082898,0.89917102
SPY,3,0.07119912,0.92880088
SPY,3,0.07355828,0.92644172
SPY,3,0.07744058,0.92255942
SPY,3,0.11441409,0.88558591
SPY,3,0.08017023,0.91982977
SPY,3,0.06902918,0.93097082
SPY,3,0.06938774,0.93061226
SPY,3,0.09463025,0.90536975
SPY,3,0.12426627,0.87573373
SPY,3,0.09278153,0.90721847
SPY,3,0.07730558,0.92269442
SPY,3,0.07997893,0.92002107
SPY,3,0.10336819,0.89663181
SPY,3,0.07182439,0.92817561
SPY,3,0.07207598,0.92792402
SPY,3,0.06913629,0.93086371
SPY,3,0.15034842,0.84965158
SPY,3,0.07188539,0.92811461
SPY,3,0.07079614,0.92920386
SPY,3,0.06957155,0.93042845
SPY,3,0.19307956,0.80692044
SPY,3,0.10851953,0.89148047
