dataset,p,component_1,component_2
SPY,2,0.07038991,0.92961009
SPY,2,0.07014474,0.92985526
SPY,2,0.07039008,0.92960992
SPY,2,0.06996738,0.93003262
SPY,2,0.06979256,0.93020744
SPY,2,0.17803389,0.82196611
SPY,2,0.10398214,0.89601786
SPY,2,0.07038982,0.92961018
SPY,2,0.07003991,0.92996009
SPY,2,0.08765295,0.91234705
SPY,2,0.07955362,0.92044638
SPY,2,0.07273152,0.92726848
SPY,2,0.07083543,0.92916457
SPY,2,0.07431938,0.92568062
SPY,2,0.07037650,0.92962350
SPY,2,0.07912163,0.92087837
SPY,2,0.07718788,0.92281212
SPY,2,0.07590638,0.92409362
SPY,2,0.06965462,0.93034538
SPY,2,0.09015504,0.90984496
SPY,2,0.28713956,0.71286044
SPY,2,0.08930578,0.91069422
SPY,2,0.07231658,0.92768342
SPY,2,0.06968549,0.93031451
SPY,2,0.06964926,0.93035074
SPY,2,0.07042914,0.92957086
SPY,2,0.06980305,0.93019695
SPY,2,0.07052900,0.92947100
SPY,2,0.08654427,0.91345573
SPY,2,0.06982854,0.93017146
SPY,2,0.07777790,0.92222210
SPY,2,0.06988155,0.93011845
SPY,2,0.10156362,0.89843638
SPY,2,0.07277946,0.92722054
SPY,2,0.07378658,0.92621342
SPY,2,0.10580050,0.89419950
SPY,2,0.10456397,0.89543603
SPY,2,0.08868894,0.91131106
SPY,2,0.07007121,0.92992879
SPY,2,0.06966832,0.93033168
SPY,2,0.06987847,0.93012153
SPY,2,0.10427046,0.89572954
SPY,2,0.07100290,0.92899710
SPY,2,0.06965622,0.93034378
SPY,2,0.28953344,0.71046656
SPY,2,0.06985461,0.93014539
SPY,2,0.10446819,0.89553181
SPY,2,0.07040668,0.92959332
SPY,2,0.09015923,0.90984077
SPY,2,0.07728453,0.92271547
SPY,2,0.06970802,0.93029198
SPY,2,0.07296624,0.92703376
SPY,2,0.06979314,0.93020686
SPY,2,0.07000215,0.92999785
SPY,2,0.26202365,0.73797635
SPY,2,0.08705265,0.91294735
SPY,2,0.06997999,0.93002001
SPY,2,0.06965319,0.93034681
SPY,2,0.07170791,0.92829209
SPY,2,0.07913697,0.92086303
SPY,2,0.07147311,0.92852689
SPY,2,0.09608929,0.90391071
SPY,2,0.06997169,0.93002831
SPY,2,0.07779957,0.92220043
SPY,2,0.06980834,0.93019166
SPY,2,0.07160127,0.92839873
SPY,2,0.07483530,0.92516470
SPY,2,0.07440268,0.92559732
SPY,2,0.08854043,0.91145957
SPY,2,0.08446985,0.91553015
SPY,2,0.07760819,0.92239181
SPY,2,0.07081929,0.92918071
SPY,2,0.07061861,0.92938139
SPY,2,0.08381270,0.91618730
SPY,2,0.19010794,0.80989206
SPY,2,0.07050043,0.92949957
SPY,2,0.07011798,0.92988202
SPY,2,0.07304011,0.92695989
SPY,2,0.07106305,0.92893695
SPY,2,0.07286207,0.92713793
SPY,2,0.07142042,0.92857958
SPY,2,0.25737651,0.74262349
SPY,2,0.07020034,0.92979966
SPY,2,0.07001867,0.92998133
SPY,2,0.09799295,0.90200705
SPY,2,0.06964857,0.93035143
SPY,2,0.07042496,0.92957504
SPY,2,0.07360990,0.92639010
SPY,2,0.07005608,0.92994392
SPY,2,0.08253657,0.91746343
SPY,2,0.07027601,0.92972399
SPY,2,0.07644027,0.92355973
SPY,2,0.30563847,0.69436153
SPY,2,0.07034944,0.92965056
SPY,2,0.15552039,0.84447961
SPY,2,0.15046335,0.84953665
SPY,2,0.06994411,0.93005589
SPY,2,0.07008354,0.92991646
SPY,2,0.17231148,0.82768852
SPY,2,0.07074795,0.92925205
SPY,2,0.64203334,0.35796666
SPY,2,0.06969505,0.93030495
SPY,2,0.07034031,0.92965969
SPY,2,0.09153964,0.90846036
SPY,2,0.07030735,0.92969265
SPY,2,0.08501648,0.91498352
SPY,2,0.07395151,0.92604849
SPY,2,0.09333824,0.90666176
SPY,2,0.08277473,0.91722527
SPY,2,0.16788484,0.83211516
SPY,2,0.06974479,0.93025521
SPY,2,0.08119072,0.91880928
SPY,2,0.07282024,0.92717976
SPY,2,0.16140892,0.83859108
SPY,2,0.07061081,0.92938919
SPY,2,0.06980162,0.93019838
SPY,2,0.21850583,0.78149417
SPY,2,0.06978989,0.93021011
SPY,2,0.18529322,0.81470678
SPY,2,0.07584373,0.92415627
SPY,2,0.08113961,0.91886039
SPY,2,0.07028745,0.92971255
SPY,2,0.06983301,0.93016699
SPY,2,0.07632828,0.92367172
SPY,2,0.07840373,0.92159627
SPY,2,0.23137632,0.76862368
SPY,2,0.09041335,0.90958665
SPY,2,0.07060902,0.92939098
SPY,2,0.08149317,0.91850683
SPY,2,0.18147091,0.81852909
SPY,2,0.07020384,0.92979616
SPY,2,0.06986561,0.93013439
SPY,2,0.08569134,0.91430866
SPY,2,0.10903091,0.89096909
SPY,2,0.18098419,0.81901581
SPY,2,0.07202286,0.92797714
SPY,2,0.07011253,0.92988747
SPY,2,0.10038054,0.89961946
SPY,2,0.11315159,0.88684841
SPY,2,0.06969991,0.93030009
SPY,2,0.11528874,0.88471126
SPY,2,0.08620606,0.91379394
SPY,2,0.07430144,0.92569856
SPY,2,0.07219007,0.92780993
SPY,2,0.07262749,0.92737251
SPY,2,0.06985857,0.93014143
SPY,2,0.07013085,0.92986915
SPY,2,0.07268641,0.92731359
SPY,2,0.06969070,0.93030930
SPY,2,0.06969292,0.93030708
SPY,2,0.07208584,0.92791416
SPY,2,0.08866125,0.91133875
SPY,2,0.11290898,0.88709102
SPY,2,0.07025581,0.92974419
SPY,2,0.07336195,0.92663805
SPY,2,0.07057517,0.92942483
SPY,2,0.07011143,0.92988857
SPY,2,0.07311866,0.92688134
SPY,2,0.07109756,0.92890244
SPY,2,0.07645335,0.92354665
SPY,2,0.06989613,0.93010387
SPY,2,0.08808015,0.91191985
SPY,2,0.07453890,0.92546110
SPY,2,0.07216984,0.92783016
SPY,2,0.07284838,0.92715162
SPY,2,0.07039162,0.92960838
SPY,2,0.08099703,0.91900297
SPY,2,0.13700173,0.86299827
SPY,2,0.07460038,0.92539962
SPY,2,0.07013424,0.92986576
SPY,2,0.07788244,0.92211756
SPY,2,0.07447875,0.92552125
SPY,2,0.08371171,0.91628829
SPY,2,0.08375884,0.91624116
SPY,2,0.13743289,0.86256711
SPY,2,0.08043904,0.91956096
SPY,2,0.07892891,0.92107109
SPY,2,0.07920916,0.92079084
SPY,2,0.08468438,0.91531562
SPY,2,0.10430107,0.89569893
