dataset,p,component_1,component_2
IWN,5,0.04523723,0.95476277
IWN,5,0.06707553,0.93292447
IWN,5,0.10419363,0.89580637
IWN,5,0.07195849,0.92804151
IWN,5,0.09321036,0.90678964
IWN,5,0.11759385,0.88240615
IWN,5,0.12207533,0.87792467
IWN,5,0.04852264,0.95147736
IWN,5,0.06026330,0.93973670
IWN,5,0.05601170,0.94398830
IWN,5,0.04534449,0.95465551
IWN,5,0.05784171,0.94215829
IWN,5,0.07632376,0.92367624
IWN,5,0.07311767,0.92688233
IWN,5,0.04528904,0.95471096
IWN,5,0.04765811,0.95234189
IWN,5,0.14125299,0.85874701
IWN,5,0.04523851,0.95476149
IWN,5,0.06488767,0.93511233
IWN,5,0.05559406,0.94440594
IWN,5,0.13340661,0.86659339
IWN,5,0.05949097,0.94050903
IWN,5,0.04541455,0.95458545
IWN,5,0.05057204,0.94942796
IWN,5,0.04631014,0.95368986
IWN,5,0.04528497,0.95471503
IWN,5,0.09288957,0.90711043
IWN,5,0.13275181,0.86724819
IWN,5,0.16209153,0.83790847
IWN,5,0.13122834,0.86877166
IWN,5,0.05242793,0.94757207
IWN,5,0.04873779,0.95126221
IWN,5,0.05010300,0.94989700
IWN,5,0.05624745,0.94375255
IWN,5,0.18653992,0.81346008
IWN,5,0.09582141,0.90417859
IWN,5,0.04520392,0.95479608
IWN,5,0.12252357,0.87747643
IWN,5,0.04779129,0.95220871
IWN,5,0.04782811,0.95217189
IWN,5,0.04536099,0.95463901
IWN,5,0.04520437,0.95479563
IWN,5,0.05035202,0.94964798
IWN,5,0.05065914,0.94934086
IWN,5,0.04631047,0.95368953
IWN,5,0.04970547,0.95029453
IWN,5,0.05478263,0.94521737
IWN,5,0.06283174,0.93716826
IWN,5,0.06594386,0.93405614
IWN,5,0.05393266,0.94606734
IWN,5,0.07040167,0.92959833
IWN,5,0.06708660,0.93291340
IWN,5,0.09817244,0.90182756
IWN,5,0.06110551,0.93889449
IWN,5,0.04596567,0.95403433
IWN,5,0.04664348,0.95335652
IWN,5,0.04822158,0.95177842
IWN,5,0.04520419,0.95479581
IWN,5,0.05015905,0.94984095
IWN,5,0.07819479,0.92180521
IWN,5,0.04858991,0.95141009
IWN,5,0.13436435,0.86563565
IWN,5,0.08326563,0.91673437
IWN,5,0.23113953,0.76886047
IWN,5,0.05001090,0.94998910
IWN,5,0.12097248,0.87902752
IWN,5,0.05080813,0.94919187
IWN,5,0.04807964,0.95192036
IWN,5,0.04545182,0.95454818
IWN,5,0.06391039,0.93608961
IWN,5,0.04566939,0.95433061
IWN,5,0.05539761,0.94460239
IWN,5,0.05671041,0.94328959
IWN,5,0.10784336,0.89215664
IWN,5,0.04572414,0.95427586
IWN,5,0.14327975,0.85672025
IWN,5,0.05296873,0.94703127
IWN,5,0.07197354,0.92802646
IWN,5,0.04769369,0.95230631
IWN,5,0.09922450,0.90077550
IWN,5,0.05291385,0.94708615
IWN,5,0.11629868,0.88370132
IWN,5,0.11899716,0.88100284
IWN,5,0.16224598,0.83775402
IWN,5,0.07609478,0.92390522
IWN,5,0.34696785,0.65303215
IWN,5,0.04616995,0.95383005
IWN,5,0.09018393,0.90981607
IWN,5,0.04668224,0.95331776
IWN,5,0.07748122,0.92251878
IWN,5,0.07542533,0.92457467
IWN,5,0.04927988,0.95072012
IWN,5,0.11025492,0.88974508
IWN,5,0.07065071,0.92934929
IWN,5,0.04709980,0.95290020
IWN,5,0.06338614,0.93661386
IWN,5,0.04545749,0.95454251
IWN,5,0.04535141,0.95464859
IWN,5,0.37197690,0.62802310
IWN,5,0.04586999,0.95413001
IWN,5,0.04691500,0.95308500
IWN,5,0.16197836,0.83802164
IWN,5,0.09220387,0.90779613
IWN,5,0.05082250,0.94917750
IWN,5,0.05492806,0.94507194
IWN,5,0.04608272,0.95391728
IWN,5,0.10524925,0.89475075
IWN,5,0.05172266,0.94827734
IWN,5,0.40866859,0.59133141
IWN,5,0.04606117,0.95393883
IWN,5,0.14997362,0.85002638
IWN,5,0.04604879,0.95395121
IWN,5,0.05068607,0.94931393
IWN,5,0.04803766,0.95196234
IWN,5,0.08332539,0.91667461
IWN,5,0.04792477,0.95207523
IWN,5,0.05844685,0.94155315
IWN,5,0.04670833,0.95329167
IWN,5,0.14728466,0.85271534
IWN,5,0.74939113,0.25060887
IWN,5,0.08565253,0.91434747
IWN,5,0.04520539,0.95479461
IWN,5,0.10550925,0.89449075
IWN,5,0.06212458,0.93787542
IWN,5,0.29370841,0.70629159
IWN,5,0.07146804,0.92853196
IWN,5,0.07368327,0.92631673
IWN,5,0.05725976,0.94274024
IWN,5,0.08604854,0.91395146
IWN,5,0.05181220,0.94818780
IWN,5,0.66016616,0.33983384
IWN,5,0.41324728,0.58675272
IWN,5,0.24582619,0.75417381
IWN,5,0.99876159,0.00123841
IWN,5,0.98729114,0.01270886
IWN,5,0.04692065,0.95307935
IWN,5,0.20596905,0.79403095
IWN,5,0.98894168,0.01105832
IWN,5,0.04521027,0.95478973
IWN,5,0.17758625,0.82241375
IWN,5,0.05553998,0.94446002
IWN,5,0.65173251,0.34826749
IWN,5,0.20601747,0.79398253
IWN,5,0.71947263,0.28052737
IWN,5,0.08036408,0.91963592
IWN,5,0.09383558,0.90616442
IWN,5,0.04558198,0.95441802
IWN,5,0.04698858,0.95301142
IWN,5,0.48058754,0.51941246
IWN,5,0.45692047,0.54307953
IWN,5,0.04803900,0.95196100
IWN,5,0.06863758,0.93136242
IWN,5,0.05212795,0.94787205
IWN,5,0.05152389,0.94847611
IWN,5,0.06784221,0.93215779
IWN,5,0.22012653,0.77987347
IWN,5,0.10934457,0.89065543
IWN,5,0.04621323,0.95378677
IWN,5,0.06127772,0.93872228
IWN,5,0.66975432,0.33024568
IWN,5,0.04643403,0.95356597
IWN,5,0.04636722,0.95363278
IWN,5,0.19152225,0.80847775
IWN,5,0.04542297,0.95457703
IWN,5,0.18134456,0.81865544
IWN,5,0.05539534,0.94460466
IWN,5,0.04727886,0.95272114
IWN,5,0.04520894,0.95479106
IWN,5,0.12150236,0.87849764
IWN,5,0.06749047,0.93250953
IWN,5,0.06697676,0.93302324
IWN,5,0.04972762,0.95027238
IWN,5,0.14001181,0.85998819
IWN,5,0.27859108,0.72140892
IWN,5,0.05073338,0.94926662
IWN,5,0.25941320,0.74058680
IWN,5,0.06395063,0.93604937
IWN,5,0.16283281,0.83716719
IWN,5,0.32919810,0.67080190
IWN,5,0.51608732,0.48391268
IWN,5,0.05216325,0.94783675
IWN,5,0.17821564,0.82178436
IWN,5,0.08357684,0.91642316
IWN,5,0.07168201,0.92831799
IWN,5,0.13507937,0.86492063
IWN,5,0.83705241,0.16294759
IWN,5,0.05998109,0.94001891
IWN,5,0.99960294,0.00039706
IWN,5,0.05272685,0.94727315
IWN,5,0.99975043,0.00024957
IWN,5,0.05167857,0.94832143
IWN,5,0.56626288,0.43373712
IWN,5,0.19710392,0.80289608
IWN,5,0.40899052,0.59100948
IWN,5,0.04974984,0.95025016
IWN,5,0.07713467,0.92286533
IWN,5,0.09317597,0.90682403
IWN,5,0.05966245,0.94033755
IWN,5,0.04621269,0.95378731
IWN,5,0.06583196,0.93416804
IWN,5,0.04535674,0.95464326
IWN,5,0.05170059,0.94829941
IWN,5,0.14259490,0.85740510
IWN,5,0.04551339,0.95448661
IWN,5,0.08619057,0.91380943
IWN,5,0.11187919,0.88812081
IWN,5,0.04582242,0.95417758
IWN,5,0.06360379,0.93639621
IWN,5,0.05461575,0.94538425
IWN,5,0.18332922,0.81667078
IWN,5,0.19542854,0.80457146
IWN,5,0.09046622,0.90953378
IWN,5,0.06533299,0.93466701
IWN,5,0.05276966,0.94723034
IWN,5,0.07202029,0.92797971
IWN,5,0.04985734,0.95014266
IWN,5,0.08177074,0.91822926
IWN,5,0.42917217,0.57082783
IWN,5,0.11294843,0.88705157
IWN,5,0.06058453,0.93941547
IWN,5,0.05111806,0.94888194
IWN,5,0.15429803,0.84570197
IWN,5,0.46195829,0.53804171
IWN,5,0.04552915,0.95447085
IWN,5,0.04537392,0.95462608
IWN,5,0.04829837,0.95170163
IWN,5,0.10642573,0.89357427
IWN,5,0.05457516,0.94542484
IWN,5,0.05110079,0.94889921
IWN,5,0.12885293,0.87114707
IWN,5,0.12190111,0.87809889
IWN,5,0.04576469,0.95423531
IWN,5,0.06661047,0.93338953
IWN,5,0.13974226,0.86025774
IWN,5,0.04987767,0.95012233
IWN,5,0.04580668,0.95419332
IWN,5,0.11714959,0.88285041
IWN,5,0.04520899,0.95479101
IWN,5,0.06273579,0.93726421
IWN,5,0.04635858,0.95364142
IWN,5,0.04522358,0.95477642
IWN,5,0.04570287,0.95429713
IWN,5,0.08302232,0.91697768
IWN,5,0.04550377,0.95449623
IWN,5,0.04590910,0.95409090
IWN,5,0.18887770,0.81112230
IWN,5,0.04711298,0.95288702
IWN,5,0.11748980,0.88251020
IWN,5,0.06677616,0.93322384
IWN,5,0.08660982,0.91339018
IWN,5,0.08223828,0.91776172
IWN,5,0.04762001,0.95237999
IWN,5,0.04648989,0.95351011
IWN,5,0.04639956,0.95360044
IWN,5,0.04566199,0.95433801
IWN,5,0.04625615,0.95374385
IWN,5,0.13003151,0.86996849
IWN,5,0.06328104,0.93671896
IWN,5,0.05117989,0.94882011
IWN,5,0.04711563,0.95288437
IWN,5,0.11018663,0.88981337
IWN,5,0.10277239,0.89722761
IWN,5,0.06566872,0.93433128
IWN,5,0.05032499,0.94967501
IWN,5,0.28418303,0.71581697
IWN,5,0.04820614,0.95179386
IWN,5,0.05044928,0.94955072
IWN,5,0.04535636,0.95464364
IWN,5,0.05118860,0.94881140
IWN,5,0.05149349,0.94850651
IWN,5,0.22293918,0.77706082
IWN,5,0.05866913,0.94133087
IWN,5,0.06673706,0.93326294
IWN,5,0.04904733,0.95095267
IWN,5,0.05960005,0.94039995
IWN,5,0.07499575,0.92500425
IWN,5,0.08519371,0.91480629
IWN,5,0.04838589,0.95161411
IWN,5,0.04849964,0.95150036
IWN,5,0.12962608,0.87037392
IWN,5,0.25992016,0.74007984
IWN,5,0.08466837,0.91533163
IWN,5,0.05973526,0.94026474
IWN,5,0.04813234,0.95186766
IWN,5,0.04702003,0.95297997
IWN,5,0.04543419,0.95456581
IWN,5,0.04868138,0.95131862
IWN,5,0.04745330,0.95254670
IWN,5,0.05297195,0.94702805
IWN,5,0.05170714,0.94829286
IWN,5,0.13299562,0.86700438
IWN,5,0.06618279,0.93381721
IWN,5,0.04559602,0.95440398
IWN,5,0.10383350,0.89616650
IWN,5,0.05665489,0.94334511
IWN,5,0.10891219,0.89108781
IWN,5,0.07265839,0.92734161
IWN,5,0.07949906,0.92050094
IWN,5,0.04864721,0.95135279
IWN,5,0.05418654,0.94581346
IWN,5,0.08210651,0.91789349
IWN,5,0.06158424,0.93841576
IWN,5,0.04668820,0.95331180
IWN,5,0.05547994,0.94452006
IWN,5,0.04526649,0.95473351
IWN,5,0.05374303,0.94625697
IWN,5,0.05221685,0.94778315
IWN,5,0.25048863,0.74951137
IWN,5,0.04538535,0.95461465
IWN,5,0.04521695,0.95478305
IWN,5,0.11718609,0.88281391
IWN,5,0.10646730,0.89353270
IWN,5,0.06125665,0.93874335
IWN,5,0.06024785,0.93975215
IWN,5,0.05239185,0.94760815
IWN,5,0.15616079,0.84383921
IWN,5,0.04673556,0.95326444
IWN,5,0.04521621,0.95478379
IWN,5,0.06563652,0.93436348
IWN,5,0.04926006,0.95073994
IWN,5,0.14028155,0.85971845
IWN,5,0.04741995,0.95258005
IWN,5,0.04548195,0.95451805
IWN,5,0.05834758,0.94165242
IWN,5,0.10891095,0.89108905
IWN,5,0.04680269,0.95319731
IWN,5,0.04557206,0.95442794
IWN,5,0.04833629,0.95166371
IWN,5,0.16192050,0.83807950
IWN,5,0.04565558,0.95434442
IWN,5,0.05469723,0.94530277
IWN,5,0.04612639,0.95387361
IWN,5,0.05361022,0.94638978
IWN,5,0.07595382,0.92404618
IWN,5,0.08038966,0.91961034
IWN,5,0.04788926,0.95211074
IWN,5,0.04520437,0.95479563
IWN,5,0.04736840,0.95263160
IWN,5,0.05742499,0.94257501
