dataset,p,component_1,component_2
SPY,1,0.07141974,0.92858026
SPY,1,0.07189233,0.92810767
SPY,1,0.07178487,0.92821513
SPY,1,0.07200345,0.92799655
SPY,1,0.07158381,0.92841619
SPY,1,0.07140770,0.92859230
SPY,1,0.18314468,0.81685532
SPY,1,0.10633466,0.89366534
SPY,1,0.07169120,0.92830880
SPY,1,0.07184094,0.92815906
SPY,1,0.08992704,0.91007296
SPY,1,0.08130537,0.91869463
SPY,1,0.07488518,0.92511482
SPY,1,0.07264473,0.92735527
SPY,1,0.07584099,0.92415901
SPY,1,0.07197690,0.92802310
SPY,1,0.08071407,0.91928593
SPY,1,0.07921994,0.92078006
SPY,1,0.07739432,0.92260568
SPY,1,0.07129762,0.92870238
SPY,1,0.09173097,0.90826903
SPY,1,0.29598430,0.70401570
SPY,1,0.09016751,0.90983249
SPY,1,0.07319324,0.92680676
SPY,1,0.07128820,0.92871180
SPY,1,0.07127496,0.92872504
SPY,1,0.07208218,0.92791782
SPY,1,0.07143269,0.92856731
SPY,1,0.07213991,0.92786009
SPY,1,0.08866158,0.91133842
SPY,1,0.07149166,0.92850834
SPY,1,0.08030578,0.91969422
SPY,1,0.07148639,0.92851361
SPY,1,0.10542295,0.89457705
SPY,1,0.07447125,0.92552875
SPY,1,0.07496984,0.92503016
SPY,1,0.10929416,0.89070584
SPY,1,0.10697214,0.89302786
SPY,1,0.08963423,0.91036577
SPY,1,0.07154293,0.92845707
SPY,1,0.07134360,0.92865640
SPY,1,0.07148690,0.92851310
SPY,1,0.10720876,0.89279124
SPY,1,0.07268550,0.92731450
SPY,1,0.07127723,0.92872277
SPY,1,0.29593674,0.70406326
SPY,1,0.07146440,0.92853560
SPY,1,0.10321942,0.89678058
SPY,1,0.07205186,0.92794814
SPY,1,0.09109060,0.90890940
SPY,1,0.07902281,0.92097719
SPY,1,0.07139853,0.92860147
SPY,1,0.07439842,0.92560158
SPY,1,0.07142834,0.92857166
SPY,1,0.07169529,0.92830471
SPY,1,0.26958555,0.73041445
SPY,1,0.08885744,0.91114256
SPY,1,0.07137444,0.92862556
SPY,1,0.07129546,0.92870454
SPY,1,0.07340352,0.92659648
SPY,1,0.08103849,0.91896151
SPY,1,0.07329030,0.92670970
SPY,1,0.09956137,0.90043863
SPY,1,0.07154530,0.92845470
SPY,1,0.07896247,0.92103753
SPY,1,0.07144650,0.92855350
SPY,1,0.07310288,0.92689712
SPY,1,0.07657046,0.92342954
SPY,1,0.07605493,0.92394507
SPY,1,0.09141281,0.90858719
SPY,1,0.08728024,0.91271976
SPY,1,0.08007861,0.91992139
SPY,1,0.07224038,0.92775962
SPY,1,0.07241282,0.92758718
SPY,1,0.08606436,0.91393564
SPY,1,0.19452042,0.80547958
SPY,1,0.07238795,0.92761205
SPY,1,0.07151210,0.92848790
SPY,1,0.07497403,0.92502597
SPY,1,0.07268119,0.92731881
SPY,1,0.07478882,0.92521118
SPY,1,0.07305348,0.92694652
SPY,1,0.26857610,0.73142390
SPY,1,0.07174676,0.92825324
SPY,1,0.07204422,0.92795578
SPY,1,0.10080050,0.89919950
SPY,1,0.07127508,0.92872492
SPY,1,0.07186050,0.92813950
SPY,1,0.07542213,0.92457787
SPY,1,0.07166229,0.92833771
SPY,1,0.08419865,0.91580135
SPY,1,0.07189137,0.92810863
SPY,1,0.07881520,0.92118480
