dataset,p,component_1,component_2
DIA,3,0.05712053,0.94287947
DIA,3,0.05714806,0.94285194
DIA,3,0.05699546,0.94300454
DIA,3,0.05676509,0.94323491
DIA,3,0.18332869,0.81667131
DIA,3,0.08351589,0.91648411
DIA,3,0.05643039,0.94356961
DIA,3,0.05656389,0.94343611
DIA,3,0.16546958,0.83453042
DIA,3,0.06502099,0.93497901
DIA,3,0.05669835,0.94330165
DIA,3,0.05703802,0.94296198
DIA,3,0.05856499,0.94143501
DIA,3,0.05643039,0.94356961
DIA,3,0.06120813,0.93879187
DIA,3,0.08239335,0.91760665
DIA,3,0.05928385,0.94071615
DIA,3,0.05710761,0.94289239
DIA,3,0.07545587,0.92454413
DIA,3,0.29265475,0.70734525
DIA,3,0.06211947,0.93788053
DIA,3,0.05642940,0.94357060
DIA,3,0.05660059,0.94339941
DIA,3,0.05667063,0.94332937
DIA,3,0.05751852,0.94248148
DIA,3,0.06377770,0.93622230
DIA,3,0.05722196,0.94277804
DIA,3,0.08310487,0.91689513
DIA,3,0.05677528,0.94322472
DIA,3,0.09842934,0.90157066
DIA,3,0.05800601,0.94199399
DIA,3,0.05925179,0.94074821
DIA,3,0.09032380,0.90967620
DIA,3,0.05972129,0.94027871
DIA,3,0.07214274,0.92785726
DIA,3,0.06895173,0.93104827
DIA,3,0.06243471,0.93756529
DIA,3,0.06397939,0.93602061
DIA,3,0.05837026,0.94162974
DIA,3,0.05863377,0.94136623
DIA,3,0.09901719,0.90098281
DIA,3,0.06186513,0.93813487
DIA,3,0.05726860,0.94273140
DIA,3,0.20009410,0.79990590
DIA,3,0.05747509,0.94252491
DIA,3,0.07189740,0.92810260
DIA,3,0.05855173,0.94144827
DIA,3,0.08586449,0.91413551
DIA,3,0.05769360,0.94230640
DIA,3,0.05938640,0.94061360
DIA,3,0.05939326,0.94060674
DIA,3,0.05882646,0.94117354
DIA,3,0.05726770,0.94273230
DIA,3,0.17760452,0.82239548
DIA,3,0.07126219,0.92873781
DIA,3,0.05684864,0.94315136
DIA,3,0.05814717,0.94185283
DIA,3,0.06042742,0.93957258
DIA,3,0.06150313,0.93849687
DIA,3,0.05872571,0.94127429
DIA,3,0.09348012,0.90651988
DIA,3,0.05650831,0.94349169
DIA,3,0.05697091,0.94302909
DIA,3,0.06053517,0.93946483
DIA,3,0.05693262,0.94306738
DIA,3,0.05932716,0.94067284
DIA,3,0.05893305,0.94106695
DIA,3,0.05964122,0.94035878
DIA,3,0.06004275,0.93995725
DIA,3,0.06448872,0.93551128
DIA,3,0.07758109,0.92241891
DIA,3,0.07497224,0.92502776
DIA,3,0.11586319,0.88413681
DIA,3,0.09936914,0.90063086
DIA,3,0.05646281,0.94353719
DIA,3,0.05644968,0.94355032
DIA,3,0.06169604,0.93830396
DIA,3,0.05788632,0.94211368
DIA,3,0.05694102,0.94305898
DIA,3,0.06007114,0.93992886
DIA,3,0.12752511,0.87247489
DIA,3,0.05868944,0.94131056
DIA,3,0.06394727,0.93605273
DIA,3,0.10307784,0.89692216
DIA,3,0.05892415,0.94107585
DIA,3,0.06140040,0.93859960
DIA,3,0.05768455,0.94231545
DIA,3,0.06597095,0.93402905
DIA,3,0.05802637,0.94197363
DIA,3,0.05650967,0.94349033
DIA,3,0.06020470,0.93979530
DIA,3,0.53625166,0.46374834
DIA,3,0.05725857,0.94274143
DIA,3,0.17753264,0.82246736
DIA,3,0.12724431,0.87275569
DIA,3,0.05699989,0.94300011
DIA,3,0.07395190,0.92604810
DIA,3,0.12723077,0.87276923
DIA,3,0.05730275,0.94269725
DIA,3,0.60151037,0.39848963
DIA,3,0.06164581,0.93835419
DIA,3,0.07622884,0.92377116
DIA,3,0.07850820,0.92149180
DIA,3,0.05926804,0.94073196
DIA,3,0.06836440,0.93163560
DIA,3,0.05712122,0.94287878
DIA,3,0.09055182,0.90944818
DIA,3,0.06585008,0.93414992
DIA,3,0.10373571,0.89626429
DIA,3,0.05862304,0.94137696
DIA,3,0.05710177,0.94289823
DIA,3,0.06127646,0.93872354
DIA,3,0.11530313,0.88469687
DIA,3,0.05643105,0.94356895
DIA,3,0.05674234,0.94325766
DIA,3,0.10707983,0.89292017
DIA,3,0.05642971,0.94357029
DIA,3,0.08824398,0.91175602
DIA,3,0.05944002,0.94055998
DIA,3,0.06043245,0.93956755
DIA,3,0.05692198,0.94307802
DIA,3,0.05697802,0.94302198
DIA,3,0.07762071,0.92237929
DIA,3,0.08283920,0.91716080
DIA,3,0.14042155,0.85957845
DIA,3,0.10565581,0.89434419
DIA,3,0.05656337,0.94343663
DIA,3,0.06709502,0.93290498
DIA,3,0.11163024,0.88836976
DIA,3,0.05675194,0.94324806
DIA,3,0.06358674,0.93641326
DIA,3,0.07082302,0.92917698
DIA,3,0.12249392,0.87750608
DIA,3,0.20018032,0.79981968
DIA,3,0.05769449,0.94230551
DIA,3,0.05646924,0.94353076
DIA,3,0.07389162,0.92610838
DIA,3,0.12395548,0.87604452
DIA,3,0.05669014,0.94330986
DIA,3,0.06995601,0.93004399
DIA,3,0.06132838,0.93867162
DIA,3,0.05784508,0.94215492
DIA,3,0.05800248,0.94199752
DIA,3,0.05877952,0.94122048
DIA,3,0.05865885,0.94134115
DIA,3,0.06245914,0.93754086
DIA,3,0.05787359,0.94212641
DIA,3,0.05643908,0.94356092
DIA,3,0.06664762,0.93335238
DIA,3,0.07715410,0.92284590
DIA,3,0.07424503,0.92575497
DIA,3,0.09848354,0.90151646
DIA,3,0.06143914,0.93856086
DIA,3,0.05663216,0.94336784
DIA,3,0.05806150,0.94193850
DIA,3,0.06034297,0.93965703
DIA,3,0.05673780,0.94326220
DIA,3,0.05704891,0.94295109
DIA,3,0.08793057,0.91206943
DIA,3,0.05749749,0.94250251
DIA,3,0.06576631,0.93423369
DIA,3,0.05704636,0.94295364
DIA,3,0.06054385,0.93945615
DIA,3,0.05659035,0.94340965
DIA,3,0.05710178,0.94289822
DIA,3,0.09288002,0.90711998
DIA,3,0.07127667,0.92872333
DIA,3,0.06146777,0.93853223
DIA,3,0.06005345,0.93994655
DIA,3,0.07686578,0.92313422
DIA,3,0.05732168,0.94267832
DIA,3,0.10497516,0.89502484
DIA,3,0.06617822,0.93382178
DIA,3,0.09085600,0.90914400
