dataset,p,component_1,component_2
QQQ,4,0.51921987,0.48078013
QQQ,4,0.79747776,0.20252224
QQQ,4,0.25502071,0.74497929
QQQ,4,0.99654352,0.00345648
QQQ,4,0.95548009,0.04451991
QQQ,4,0.99309589,0.00690411
QQQ,4,0.16160882,0.83839118
QQQ,4,0.99560483,0.00439517
QQQ,4,0.13517345,0.86482655
QQQ,4,0.26979607,0.73020393
QQQ,4,0.54430980,0.45569020
QQQ,4,0.99405563,0.00594437
QQQ,4,0.13494572,0.86505428
QQQ,4,0.16955105,0.83044895
QQQ,4,0.16475571,0.83524429
QQQ,4,0.14746761,0.85253239
QQQ,4,0.14535129,0.85464871
QQQ,4,0.27624176,0.72375824
QQQ,4,0.99328829,0.00671171
QQQ,4,0.20718068,0.79281932
QQQ,4,0.95893474,0.04106526
QQQ,4,0.99998927,0.00001073
QQQ,4,0.46017015,0.53982985
QQQ,4,0.99995203,0.00004797
QQQ,4,0.94126863,0.05873137
QQQ,4,0.39436690,0.60563310
QQQ,4,0.83008183,0.16991817
QQQ,4,0.25234481,0.74765519
QQQ,4,0.98780637,0.01219363
QQQ,4,0.20032058,0.79967942
QQQ,4,0.13237374,0.86762626
QQQ,4,0.14309184,0.85690816
QQQ,4,0.36814790,0.63185210
QQQ,4,0.92476933,0.07523067
QQQ,4,0.99390430,0.00609570
QQQ,4,0.26471004,0.73528996
QQQ,4,0.18289945,0.81710055
QQQ,4,0.37879160,0.62120840
QQQ,4,0.64765631,0.35234369
QQQ,4,0.38260366,0.61739634
QQQ,4,0.49290928,0.50709072
QQQ,4,0.36814217,0.63185783
QQQ,4,0.13371249,0.86628751
QQQ,4,0.28426089,0.71573911
QQQ,4,0.88329193,0.11670807
QQQ,4,0.19516461,0.80483539
QQQ,4,0.89099170,0.10900830
QQQ,4,0.99243837,0.00756163
QQQ,4,0.76356316,0.23643684
QQQ,4,0.12261332,0.87738668
QQQ,4,0.39558756,0.60441244
QQQ,4,0.62368238,0.37631762
QQQ,4,0.37309874,0.62690126
QQQ,4,0.29088833,0.70911167
QQQ,4,0.94695434,0.05304566
QQQ,4,0.64374743,0.35625257
QQQ,4,0.70327312,0.29672688
QQQ,4,0.37595817,0.62404183
QQQ,4,0.21597532,0.78402468
QQQ,4,0.33414767,0.66585233
QQQ,4,0.56850036,0.43149964
QQQ,4,0.25576866,0.74423134
QQQ,4,0.99998939,0.00001061
QQQ,4,0.29323294,0.70676706
QQQ,4,0.15949052,0.84050948
QQQ,4,0.96369907,0.03630093
QQQ,4,0.91301827,0.08698173
QQQ,4,0.33441517,0.66558483
QQQ,4,0.55539067,0.44460933
QQQ,4,0.12381691,0.87618309
QQQ,4,0.68130625,0.31869375
QQQ,4,0.30824011,0.69175989
QQQ,4,0.40044958,0.59955042
QQQ,4,0.17145643,0.82854357
QQQ,4,0.28757542,0.71242458
QQQ,4,0.13715492,0.86284508
QQQ,4,0.12396839,0.87603161
QQQ,4,0.26564932,0.73435068
QQQ,4,0.20659802,0.79340198
QQQ,4,0.13146965,0.86853035
QQQ,4,0.13301217,0.86698783
QQQ,4,0.38116466,0.61883534
QQQ,4,0.19069425,0.80930575
QQQ,4,0.19966057,0.80033943
QQQ,4,0.17770245,0.82229755
QQQ,4,0.99832615,0.00167385
QQQ,4,0.12460575,0.87539425
QQQ,4,0.89140567,0.10859433
