dataset,p,component_1,component_2
IWN,3,0.05476426,0.94523574
IWN,3,0.04669854,0.95330146
IWN,3,0.04466879,0.95533121
IWN,3,0.06554565,0.93445435
IWN,3,0.10390400,0.89609600
IWN,3,0.07124142,0.92875858
IWN,3,0.09195491,0.90804509
IWN,3,0.11876459,0.88123541
IWN,3,0.11657122,0.88342878
IWN,3,0.04812734,0.95187266
IWN,3,0.06027239,0.93972761
IWN,3,0.05467441,0.94532559
IWN,3,0.04487429,0.95512571
IWN,3,0.05765220,0.94234780
IWN,3,0.07637397,0.92362603
IWN,3,0.07125892,0.92874108
IWN,3,0.04472946,0.95527054
IWN,3,0.04689960,0.95310040
IWN,3,0.13683656,0.86316344
IWN,3,0.04471936,0.95528064
IWN,3,0.06442237,0.93557763
IWN,3,0.05508747,0.94491253
IWN,3,0.13653900,0.86346100
IWN,3,0.05912299,0.94087701
IWN,3,0.04494400,0.95505600
IWN,3,0.05031101,0.94968899
IWN,3,0.04601436,0.95398564
IWN,3,0.04480042,0.95519958
IWN,3,0.09238632,0.90761368
IWN,3,0.12956404,0.87043596
IWN,3,0.15981787,0.84018213
IWN,3,0.13033725,0.86966275
IWN,3,0.05238480,0.94761520
IWN,3,0.04779719,0.95220281
IWN,3,0.05000024,0.94999976
IWN,3,0.05629903,0.94370097
IWN,3,0.17996513,0.82003487
IWN,3,0.09366780,0.90633220
IWN,3,0.04466037,0.95533963
IWN,3,0.12253892,0.87746108
IWN,3,0.04678852,0.95321148
IWN,3,0.04681526,0.95318474
IWN,3,0.04479206,0.95520794
IWN,3,0.04466919,0.95533081
IWN,3,0.05002735,0.94997265
IWN,3,0.04988431,0.95011569
IWN,3,0.04572200,0.95427800
IWN,3,0.04911532,0.95088468
IWN,3,0.05439870,0.94560130
IWN,3,0.06239328,0.93760672
IWN,3,0.06481608,0.93518392
IWN,3,0.05357612,0.94642388
IWN,3,0.07035913,0.92964087
IWN,3,0.06692140,0.93307860
IWN,3,0.09567487,0.90432513
IWN,3,0.06000687,0.93999313
IWN,3,0.04557996,0.95442004
IWN,3,0.04623614,0.95376386
IWN,3,0.04808951,0.95191049
IWN,3,0.04465935,0.95534065
IWN,3,0.04954615,0.95045385
IWN,3,0.07757161,0.92242839
IWN,3,0.04815542,0.95184458
IWN,3,0.13308775,0.86691225
IWN,3,0.08304154,0.91695846
IWN,3,0.22164863,0.77835137
IWN,3,0.04969457,0.95030543
IWN,3,0.11537598,0.88462402
IWN,3,0.04991392,0.95008608
IWN,3,0.04798054,0.95201946
IWN,3,0.04490920,0.95509080
IWN,3,0.06433509,0.93566491
IWN,3,0.04513375,0.95486625
IWN,3,0.05443563,0.94556437
IWN,3,0.05617546,0.94382454
IWN,3,0.10453403,0.89546597
IWN,3,0.04518480,0.95481520
IWN,3,0.14359906,0.85640094
IWN,3,0.05209560,0.94790440
IWN,3,0.07253743,0.92746257
IWN,3,0.04708699,0.95291301
IWN,3,0.10150032,0.89849968
IWN,3,0.05278960,0.94721040
IWN,3,0.11199507,0.88800493
IWN,3,0.11728441,0.88271559
IWN,3,0.15478542,0.84521458
IWN,3,0.07626623,0.92373377
IWN,3,0.33321585,0.66678415
IWN,3,0.04581993,0.95418007
IWN,3,0.08574218,0.91425782
IWN,3,0.04596892,0.95403108
IWN,3,0.07996431,0.92003569
IWN,3,0.07542272,0.92457728
IWN,3,0.04831831,0.95168169
IWN,3,0.10907878,0.89092122
IWN,3,0.06859748,0.93140252
IWN,3,0.04623046,0.95376954
IWN,3,0.06210705,0.93789295
IWN,3,0.04481773,0.95518227
IWN,3,0.04484680,0.95515320
IWN,3,0.36372133,0.63627867
IWN,3,0.04520408,0.95479592
IWN,3,0.04636931,0.95363069
IWN,3,0.16021738,0.83978262
IWN,3,0.09529734,0.90470266
IWN,3,0.04993211,0.95006789
IWN,3,0.05435402,0.94564598
IWN,3,0.04578733,0.95421267
IWN,3,0.10593562,0.89406438
IWN,3,0.05119293,0.94880707
IWN,3,0.41264493,0.58735507
IWN,3,0.04550435,0.95449565
IWN,3,0.14356168,0.85643832
IWN,3,0.04544898,0.95455102
IWN,3,0.04910384,0.95089616
IWN,3,0.04765725,0.95234275
IWN,3,0.08004178,0.91995822
IWN,3,0.04738806,0.95261194
IWN,3,0.05739887,0.94260113
IWN,3,0.04621301,0.95378699
IWN,3,0.14143238,0.85856762
IWN,3,0.74767331,0.25232669
IWN,3,0.08600962,0.91399038
IWN,3,0.04465892,0.95534108
IWN,3,0.10799060,0.89200940
IWN,3,0.05875982,0.94124018
IWN,3,0.27667715,0.72332285
IWN,3,0.07034140,0.92965860
IWN,3,0.07447704,0.92552296
IWN,3,0.05623328,0.94376672
IWN,3,0.08150622,0.91849378
IWN,3,0.05190066,0.94809934
IWN,3,0.64249778,0.35750222
IWN,3,0.39972804,0.60027196
IWN,3,0.23539652,0.76460348
IWN,3,0.99875804,0.00124196
IWN,3,0.98918913,0.01081087
IWN,3,0.04576319,0.95423681
IWN,3,0.21885797,0.78114203
IWN,3,0.99189934,0.00810066
IWN,3,0.04467999,0.95532001
IWN,3,0.17881273,0.82118727
IWN,3,0.05611340,0.94388660
IWN,3,0.69641991,0.30358009
IWN,3,0.20853740,0.79146260
IWN,3,0.73365764,0.26634236
IWN,3,0.08113063,0.91886937
IWN,3,0.09875995,0.90124005
IWN,3,0.04482645,0.95517355
IWN,3,0.04700626,0.95299374
IWN,3,0.49701776,0.50298224
IWN,3,0.43689883,0.56310117
IWN,3,0.04738392,0.95261608
IWN,3,0.06830912,0.93169088
IWN,3,0.05271771,0.94728229
IWN,3,0.05172826,0.94827174
IWN,3,0.06606766,0.93393234
IWN,3,0.21188657,0.78811343
IWN,3,0.10997156,0.89002844
IWN,3,0.04559307,0.95440693
IWN,3,0.05983761,0.94016239
IWN,3,0.68823145,0.31176855
IWN,3,0.04605591,0.95394409
IWN,3,0.04572687,0.95427313
IWN,3,0.19252735,0.80747265
IWN,3,0.04472325,0.95527675
IWN,3,0.18120347,0.81879653
IWN,3,0.05487490,0.94512510
IWN,3,0.04627379,0.95372621
IWN,3,0.04466016,0.95533984
IWN,3,0.12508772,0.87491228
IWN,3,0.06561986,0.93438014
IWN,3,0.06607967,0.93392033
IWN,3,0.04908145,0.95091855
IWN,3,0.13373069,0.86626931
IWN,3,0.27953065,0.72046935
IWN,3,0.04984006,0.95015994
IWN,3,0.25198310,0.74801690
IWN,3,0.06167861,0.93832139
IWN,3,0.17116133,0.82883867
IWN,3,0.33519115,0.66480885
IWN,3,0.48844170,0.51155830
IWN,3,0.05094247,0.94905753
IWN,3,0.16907897,0.83092103
IWN,3,0.08654344,0.91345656
IWN,3,0.06862071,0.93137929
IWN,3,0.13037663,0.86962337
IWN,3,0.84638826,0.15361174
IWN,3,0.05988219,0.94011781
IWN,3,0.99955069,0.00044931
IWN,3,0.05119461,0.94880539
IWN,3,0.99980900,0.00019100
IWN,3,0.05113781,0.94886219
IWN,3,0.61386054,0.38613946
IWN,3,0.18752884,0.81247116
IWN,3,0.36106400,0.63893600
IWN,3,0.04851436,0.95148564
IWN,3,0.07279071,0.92720929
IWN,3,0.09023293,0.90976707
IWN,3,0.05761403,0.94238597
IWN,3,0.04549144,0.95450856
IWN,3,0.06404723,0.93595277
IWN,3,0.04475623,0.95524377
IWN,3,0.05128107,0.94871893
IWN,3,0.13954470,0.86045530
IWN,3,0.04488733,0.95511267
IWN,3,0.08499107,0.91500893
IWN,3,0.11176956,0.88823044
IWN,3,0.04547046,0.95452954
IWN,3,0.06238623,0.93761377
IWN,3,0.05469192,0.94530808
IWN,3,0.18934078,0.81065922
IWN,3,0.19430979,0.80569021
IWN,3,0.08798395,0.91201605
IWN,3,0.06501494,0.93498506
IWN,3,0.05319700,0.94680300
IWN,3,0.07381963,0.92618037
IWN,3,0.04955484,0.95044516
IWN,3,0.08256323,0.91743677
IWN,3,0.41695455,0.58304545
IWN,3,0.10876218,0.89123782
IWN,3,0.06008253,0.93991747
IWN,3,0.05102057,0.94897943
IWN,3,0.16076180,0.83923820
IWN,3,0.43769226,0.56230774
IWN,3,0.04509776,0.95490224
IWN,3,0.04478625,0.95521375
IWN,3,0.04730245,0.95269755
IWN,3,0.10977888,0.89022112
IWN,3,0.05417291,0.94582709
IWN,3,0.05046687,0.94953313
IWN,3,0.12629681,0.87370319
IWN,3,0.12472521,0.87527479
IWN,3,0.04510350,0.95489650
IWN,3,0.06555255,0.93444745
IWN,3,0.13380884,0.86619116
IWN,3,0.04886824,0.95113176
IWN,3,0.04528976,0.95471024
IWN,3,0.11786031,0.88213969
IWN,3,0.04466009,0.95533991
IWN,3,0.06191734,0.93808266
IWN,3,0.04582224,0.95417776
IWN,3,0.04465913,0.95534087
IWN,3,0.04518851,0.95481149
IWN,3,0.08331897,0.91668103
IWN,3,0.04499410,0.95500590
IWN,3,0.04534508,0.95465492
IWN,3,0.18623444,0.81376556
IWN,3,0.04629380,0.95370620
IWN,3,0.11722099,0.88277901
IWN,3,0.06619243,0.93380757
IWN,3,0.08858613,0.91141387
IWN,3,0.08091180,0.91908820
IWN,3,0.04670298,0.95329702
IWN,3,0.04581680,0.95418320
IWN,3,0.04610481,0.95389519
IWN,3,0.04502146,0.95497854
IWN,3,0.04579481,0.95420519
IWN,3,0.12805943,0.87194057
IWN,3,0.06271874,0.93728126
IWN,3,0.05065421,0.94934579
IWN,3,0.04649036,0.95350964
IWN,3,0.10518873,0.89481127
