dataset,p,component_1,component_2
DIA,2,0.06041942,0.93958058
DIA,2,0.06876676,0.93123324
DIA,2,0.06727759,0.93272241
DIA,2,0.05664094,0.94335906
DIA,2,0.05668157,0.94331843
DIA,2,0.05638158,0.94361842
DIA,2,0.05634588,0.94365412
DIA,2,0.06933776,0.93066224
DIA,2,0.05633186,0.94366814
DIA,2,0.07270037,0.92729963
DIA,2,0.05989960,0.94010040
DIA,2,0.05805425,0.94194575
DIA,2,0.06552294,0.93447706
DIA,2,0.05743678,0.94256322
DIA,2,0.10297243,0.89702757
DIA,2,0.05767377,0.94232623
DIA,2,0.06004434,0.93995566
DIA,2,0.07752930,0.92247070
DIA,2,0.07807020,0.92192980
DIA,2,0.05704062,0.94295938
DIA,2,0.05835304,0.94164696
DIA,2,0.06220104,0.93779896
DIA,2,0.06747031,0.93252969
DIA,2,0.05668002,0.94331998
DIA,2,0.09574870,0.90425130
DIA,2,0.06928998,0.93071002
DIA,2,0.07270850,0.92729150
DIA,2,0.13990673,0.86009327
DIA,2,0.08315534,0.91684466
DIA,2,0.06265516,0.93734484
DIA,2,0.05609613,0.94390387
DIA,2,0.05851751,0.94148249
DIA,2,0.10302523,0.89697477
DIA,2,0.06447953,0.93552047
DIA,2,0.05806628,0.94193372
DIA,2,0.06247774,0.93752226
DIA,2,0.14398553,0.85601447
DIA,2,0.06111479,0.93888521
DIA,2,0.05702839,0.94297161
DIA,2,0.05626514,0.94373486
DIA,2,0.05611009,0.94388991
DIA,2,0.12614914,0.87385086
DIA,2,0.12416759,0.87583241
DIA,2,0.06756892,0.93243108
DIA,2,0.05656571,0.94343429
DIA,2,0.09115996,0.90884004
DIA,2,0.06451680,0.93548320
DIA,2,0.05741109,0.94258891
DIA,2,0.06548400,0.93451600
DIA,2,0.05749326,0.94250674
DIA,2,0.07089247,0.92910753
DIA,2,0.07181752,0.92818248
DIA,2,0.05784201,0.94215799
DIA,2,0.12740855,0.87259145
DIA,2,0.09361114,0.90638886
DIA,2,0.06693753,0.93306247
DIA,2,0.08465693,0.91534307
DIA,2,0.05664491,0.94335509
DIA,2,0.06950516,0.93049484
DIA,2,0.05693061,0.94306939
DIA,2,0.08981426,0.91018574
DIA,2,0.07364312,0.92635688
DIA,2,0.05720467,0.94279533
DIA,2,0.60687876,0.39312124
DIA,2,0.06903292,0.93096708
DIA,2,0.10934190,0.89065810
DIA,2,0.07771052,0.92228948
DIA,2,0.05643692,0.94356308
DIA,2,0.05872845,0.94127155
DIA,2,0.05628143,0.94371857
DIA,2,0.05796259,0.94203741
DIA,2,0.06353996,0.93646004
DIA,2,0.16451155,0.83548845
DIA,2,0.06416024,0.93583976
DIA,2,0.06215537,0.93784463
DIA,2,0.05667096,0.94332904
DIA,2,0.06089750,0.93910250
DIA,2,0.18719384,0.81280616
DIA,2,0.63087193,0.36912807
DIA,2,0.06702627,0.93297373
DIA,2,0.05612623,0.94387377
DIA,2,0.06166823,0.93833177
DIA,2,0.09713192,0.90286808
DIA,2,0.06161199,0.93838801
DIA,2,0.13711219,0.86288781
DIA,2,0.18093704,0.81906296
DIA,2,0.08753662,0.91246338
DIA,2,0.06633052,0.93366948
DIA,2,0.10752791,0.89247209
DIA,2,0.06420929,0.93579071
DIA,2,0.12035341,0.87964659
DIA,2,0.08294367,0.91705633
DIA,2,0.26425110,0.73574890
DIA,2,0.06267898,0.93732102
DIA,2,0.05790539,0.94209461
DIA,2,0.07153885,0.92846115
DIA,2,0.07243604,0.92756396
DIA,2,0.12070901,0.87929099
DIA,2,0.07936989,0.92063011
DIA,2,0.10470232,0.89529768
DIA,2,0.05662146,0.94337854
DIA,2,0.12913005,0.87086995
DIA,2,0.05658269,0.94341731
DIA,2,0.06296225,0.93703775
DIA,2,0.07013817,0.92986183
DIA,2,0.10527167,0.89472833
DIA,2,0.10219520,0.89780480
DIA,2,0.11580188,0.88419812
DIA,2,0.42416768,0.57583232
DIA,2,0.06958667,0.93041333
DIA,2,0.14669442,0.85330558
DIA,2,0.06279686,0.93720314
DIA,2,0.09159744,0.90840256
DIA,2,0.06508840,0.93491160
DIA,2,0.10287443,0.89712557
DIA,2,0.16768407,0.83231593
DIA,2,0.09671724,0.90328276
DIA,2,0.05726111,0.94273889
DIA,2,0.05774369,0.94225631
DIA,2,0.99268025,0.00731975
DIA,2,0.42356955,0.57643045
DIA,2,0.05816047,0.94183953
DIA,2,0.05930314,0.94069686
DIA,2,0.05983809,0.94016191
DIA,2,0.05609737,0.94390263
DIA,2,0.42436150,0.57563850
DIA,2,0.05657471,0.94342529
DIA,2,0.05933781,0.94066219
DIA,2,0.06946683,0.93053317
DIA,2,0.05685772,0.94314228
DIA,2,0.05698378,0.94301622
DIA,2,0.06718349,0.93281651
