dataset,p,component_1,component_2
QQQ,5,0.81010829,0.18989171
QQQ,5,0.24766266,0.75233734
QQQ,5,0.99647727,0.00352273
QQQ,5,0.95475038,0.04524962
QQQ,5,0.99369375,0.00630625
QQQ,5,0.16572692,0.83427308
QQQ,5,0.99549240,0.00450760
QQQ,5,0.13772641,0.86227359
QQQ,5,0.25996275,0.74003725
QQQ,5,0.56881205,0.43118795
QQQ,5,0.99390752,0.00609248
QQQ,5,0.13766122,0.86233878
QQQ,5,0.17077809,0.82922191
QQQ,5,0.16368420,0.83631580
QQQ,5,0.15000553,0.84999447
QQQ,5,0.14260551,0.85739449
QQQ,5,0.27646659,0.72353341
QQQ,5,0.99369116,0.00630884
QQQ,5,0.20939996,0.79060004
QQQ,5,0.95892011,0.04107989
QQQ,5,0.99999022,0.00000978
QQQ,5,0.45390355,0.54609645
QQQ,5,0.99994265,0.00005735
QQQ,5,0.94387509,0.05612491
QQQ,5,0.38215322,0.61784678
QQQ,5,0.81242104,0.18757896
QQQ,5,0.24566193,0.75433807
QQQ,5,0.98531572,0.01468428
QQQ,5,0.19534873,0.80465127
QQQ,5,0.13338729,0.86661271
QQQ,5,0.14178089,0.85821911
QQQ,5,0.37742426,0.62257574
QQQ,5,0.91706399,0.08293601
QQQ,5,0.99424217,0.00575783
QQQ,5,0.26741194,0.73258806
QQQ,5,0.18266807,0.81733193
QQQ,5,0.37226699,0.62773301
QQQ,5,0.66733951,0.33266049
QQQ,5,0.40108597,0.59891403
QQQ,5,0.48553730,0.51446270
QQQ,5,0.37482950,0.62517050
QQQ,5,0.13311882,0.86688118
QQQ,5,0.29179024,0.70820976
QQQ,5,0.89052232,0.10947768
QQQ,5,0.19937347,0.80062653
QQQ,5,0.88637782,0.11362218
QQQ,5,0.99277483,0.00722517
QQQ,5,0.77130662,0.22869338
QQQ,5,0.12346952,0.87653048
QQQ,5,0.39128025,0.60871975
QQQ,5,0.64069225,0.35930775
QQQ,5,0.36000301,0.63999699
QQQ,5,0.28223673,0.71776327
QQQ,5,0.94739535,0.05260465
QQQ,5,0.65555191,0.34444809
QQQ,5,0.71780316,0.28219684
QQQ,5,0.38620383,0.61379617
QQQ,5,0.21950645,0.78049355
QQQ,5,0.32345734,0.67654266
QQQ,5,0.55813672,0.44186328
QQQ,5,0.24910599,0.75089401
QQQ,5,0.99999062,0.00000938
QQQ,5,0.28969674,0.71030326
QQQ,5,0.15823928,0.84176072
QQQ,5,0.96230155,0.03769845
QQQ,5,0.90926488,0.09073512
QQQ,5,0.35761577,0.64238423
QQQ,5,0.54977900,0.45022100
QQQ,5,0.12398123,0.87601877
QQQ,5,0.70010896,0.29989104
QQQ,5,0.29776023,0.70223977
QQQ,5,0.40956608,0.59043392
QQQ,5,0.16931272,0.83068728
QQQ,5,0.28891665,0.71108335
QQQ,5,0.13571893,0.86428107
QQQ,5,0.12463994,0.87536006
QQQ,5,0.27173553,0.72826447
QQQ,5,0.20869933,0.79130067
QQQ,5,0.13106311,0.86893689
QQQ,5,0.13362710,0.86637290
QQQ,5,0.38385548,0.61614452
QQQ,5,0.19371583,0.80628417
QQQ,5,0.20225724,0.79774276
