dataset,p,component_1,component_2
DIA,4,0.05816732,0.94183268
DIA,4,0.05791471,0.94208529
DIA,4,0.05757899,0.94242101
DIA,4,0.18586391,0.81413609
DIA,4,0.08519800,0.91480200
DIA,4,0.05730450,0.94269550
DIA,4,0.05743937,0.94256063
DIA,4,0.16071364,0.83928636
DIA,4,0.06548947,0.93451053
DIA,4,0.05758611,0.94241389
DIA,4,0.05795920,0.94204080
DIA,4,0.05897154,0.94102846
DIA,4,0.05731316,0.94268684
DIA,4,0.06222348,0.93777652
DIA,4,0.08400616,0.91599384
DIA,4,0.06033809,0.93966191
DIA,4,0.05798342,0.94201658
DIA,4,0.07612693,0.92387307
DIA,4,0.29067861,0.70932139
DIA,4,0.06334436,0.93665564
DIA,4,0.05730693,0.94269307
DIA,4,0.05740134,0.94259866
DIA,4,0.05737924,0.94262076
DIA,4,0.05849022,0.94150978
DIA,4,0.06479023,0.93520977
DIA,4,0.05809753,0.94190247
DIA,4,0.08442029,0.91557971
DIA,4,0.05769191,0.94230809
DIA,4,0.09909088,0.90090912
DIA,4,0.05897741,0.94102259
DIA,4,0.06056234,0.93943766
DIA,4,0.09181425,0.90818575
DIA,4,0.06020775,0.93979225
DIA,4,0.07295024,0.92704976
DIA,4,0.07044476,0.92955524
DIA,4,0.06284217,0.93715783
DIA,4,0.06486124,0.93513876
DIA,4,0.05906577,0.94093423
DIA,4,0.05980072,0.94019928
DIA,4,0.10204627,0.89795373
DIA,4,0.06259674,0.93740326
DIA,4,0.05823352,0.94176648
DIA,4,0.20497790,0.79502210
DIA,4,0.05865243,0.94134757
DIA,4,0.07369181,0.92630819
DIA,4,0.05937882,0.94062118
DIA,4,0.09021618,0.90978382
DIA,4,0.05852229,0.94147771
DIA,4,0.06062789,0.93937211
DIA,4,0.06043437,0.93956563
DIA,4,0.06013163,0.93986837
DIA,4,0.05819616,0.94180384
DIA,4,0.18255523,0.81744477
DIA,4,0.07209303,0.92790697
DIA,4,0.05768352,0.94231648
DIA,4,0.05914659,0.94085341
DIA,4,0.06222314,0.93777686
DIA,4,0.06217448,0.93782552
DIA,4,0.05959538,0.94040462
DIA,4,0.09574105,0.90425895
DIA,4,0.05740772,0.94259228
DIA,4,0.05778551,0.94221449
DIA,4,0.06129217,0.93870783
DIA,4,0.05800172,0.94199828
DIA,4,0.06026977,0.93973023
DIA,4,0.05990425,0.94009575
DIA,4,0.06041948,0.93958052
DIA,4,0.06092748,0.93907252
DIA,4,0.06575424,0.93424576
DIA,4,0.07937377,0.92062623
DIA,4,0.07657096,0.92342904
DIA,4,0.11673572,0.88326428
DIA,4,0.10017701,0.89982299
DIA,4,0.05731050,0.94268950
DIA,4,0.05730683,0.94269317
DIA,4,0.06342979,0.93657021
DIA,4,0.05909213,0.94090787
DIA,4,0.05784655,0.94215345
DIA,4,0.06103293,0.93896707
DIA,4,0.13144837,0.86855163
DIA,4,0.05954888,0.94045112
DIA,4,0.06506005,0.93493995
DIA,4,0.10611245,0.89388755
DIA,4,0.06035333,0.93964667
DIA,4,0.06213891,0.93786109
DIA,4,0.05848550,0.94151450
DIA,4,0.06803593,0.93196407
DIA,4,0.05900416,0.94099584
DIA,4,0.05736142,0.94263858
DIA,4,0.06104508,0.93895492
DIA,4,0.53653802,0.46346198
DIA,4,0.05810608,0.94189392
DIA,4,0.18044679,0.81955321
DIA,4,0.12773447,0.87226553
DIA,4,0.05753901,0.94246099
DIA,4,0.07501196,0.92498804
DIA,4,0.12410574,0.87589426
DIA,4,0.05847969,0.94152031
DIA,4,0.60944295,0.39055705
DIA,4,0.06214582,0.93785418
DIA,4,0.07913915,0.92086085
DIA,4,0.08052602,0.91947398
DIA,4,0.06132163,0.93867837
DIA,4,0.06934683,0.93065317
DIA,4,0.05816190,0.94183810
DIA,4,0.09039522,0.90960478
DIA,4,0.06707798,0.93292202
DIA,4,0.10399254,0.89600746
DIA,4,0.05947631,0.94052369
DIA,4,0.05782069,0.94217931
DIA,4,0.06265998,0.93734002
DIA,4,0.12066572,0.87933428
DIA,4,0.05730954,0.94269046
DIA,4,0.05760083,0.94239917
DIA,4,0.11034034,0.88965966
DIA,4,0.05731339,0.94268661
DIA,4,0.08995181,0.91004819
DIA,4,0.06037339,0.93962661
DIA,4,0.06199227,0.93800773
DIA,4,0.05783896,0.94216104
DIA,4,0.05770598,0.94229402
DIA,4,0.07865112,0.92134888
DIA,4,0.08485707,0.91514293
DIA,4,0.14242340,0.85757660
DIA,4,0.10809587,0.89190413
DIA,4,0.05752692,0.94247308
DIA,4,0.06739283,0.93260717
DIA,4,0.11770717,0.88229283
DIA,4,0.05778866,0.94221134
DIA,4,0.06464744,0.93535256
DIA,4,0.07149418,0.92850582
DIA,4,0.12085289,0.87914711
DIA,4,0.20423711,0.79576289
DIA,4,0.05848275,0.94151725
DIA,4,0.05738082,0.94261918
DIA,4,0.07343325,0.92656675
DIA,4,0.12139248,0.87860752
DIA,4,0.05753174,0.94246826
DIA,4,0.07117001,0.92882999
DIA,4,0.06185360,0.93814640
DIA,4,0.05842183,0.94157817
DIA,4,0.05895248,0.94104752
DIA,4,0.05946587,0.94053413
DIA,4,0.05941062,0.94058938
DIA,4,0.06358777,0.93641223
DIA,4,0.05871068,0.94128932
DIA,4,0.05730951,0.94269049
DIA,4,0.06750930,0.93249070
DIA,4,0.07907377,0.92092623
DIA,4,0.07516112,0.92483888
DIA,4,0.10014344,0.89985656
DIA,4,0.06279348,0.93720652
DIA,4,0.05760731,0.94239269
DIA,4,0.05915975,0.94084025
DIA,4,0.06078229,0.93921771
DIA,4,0.05769167,0.94230833
DIA,4,0.05792464,0.94207536
DIA,4,0.08993134,0.91006866
DIA,4,0.05848435,0.94151565
DIA,4,0.06678127,0.93321873
DIA,4,0.05792126,0.94207874
DIA,4,0.06102265,0.93897735
DIA,4,0.05747617,0.94252383
DIA,4,0.05810394,0.94189606
DIA,4,0.09417226,0.90582774
DIA,4,0.07286747,0.92713253
DIA,4,0.06239098,0.93760902
DIA,4,0.06088907,0.93911093
DIA,4,0.07959946,0.92040054
DIA,4,0.05836456,0.94163544
DIA,4,0.10772147,0.89227853
DIA,4,0.06699011,0.93300989
DIA,4,0.09409012,0.90590988
DIA,4,0.05734132,0.94265868
DIA,4,0.06298572,0.93701428
DIA,4,0.06161329,0.93838671
DIA,4,0.07133285,0.92866715
DIA,4,0.06880476,0.93119524
DIA,4,0.05793343,0.94206657
DIA,4,0.05781856,0.94218144
DIA,4,0.05750065,0.94249935
DIA,4,0.05764418,0.94235582
DIA,4,0.07080620,0.92919380
DIA,4,0.05756739,0.94243261
DIA,4,0.07451536,0.92548464
DIA,4,0.06133272,0.93866728
DIA,4,0.05909268,0.94090732
DIA,4,0.06718149,0.93281851
DIA,4,0.05850420,0.94149580
DIA,4,0.10621415,0.89378585
DIA,4,0.05904238,0.94095762
DIA,4,0.06165415,0.93834585
DIA,4,0.07997362,0.92002638
DIA,4,0.07837725,0.92162275
DIA,4,0.05833747,0.94166253
DIA,4,0.05969151,0.94030849
DIA,4,0.06320411,0.93679589
DIA,4,0.06976334,0.93023666
DIA,4,0.05796292,0.94203708
DIA,4,0.09725421,0.90274579
DIA,4,0.07025606,0.92974394
DIA,4,0.07356631,0.92643369
DIA,4,0.14346877,0.85653123
DIA,4,0.08327213,0.91672787
DIA,4,0.06469813,0.93530187
DIA,4,0.05730542,0.94269458
DIA,4,0.05922992,0.94077008
DIA,4,0.10790731,0.89209269
DIA,4,0.06622076,0.93377924
DIA,4,0.05937493,0.94062507
DIA,4,0.06385066,0.93614934
DIA,4,0.15203820,0.84796180
DIA,4,0.06276194,0.93723806
DIA,4,0.05820853,0.94179147
DIA,4,0.05740828,0.94259172
DIA,4,0.05730535,0.94269465
DIA,4,0.13032450,0.86967550
DIA,4,0.12783959,0.87216041
DIA,4,0.06913173,0.93086827
DIA,4,0.05785021,0.94214979
