dataset,p,component_1,component_2
DIA,1,0.05691332,0.94308668
DIA,1,0.06404950,0.93595050
DIA,1,0.05677812,0.94322188
DIA,1,0.05683146,0.94316854
DIA,1,0.05666232,0.94333768
DIA,1,0.05647039,0.94352961
DIA,1,0.18240893,0.81759107
DIA,1,0.08294594,0.91705406
DIA,1,0.05613008,0.94386992
DIA,1,0.05622121,0.94377879
DIA,1,0.16322955,0.83677045
DIA,1,0.06467564,0.93532436
DIA,1,0.05640258,0.94359742
DIA,1,0.05682609,0.94317391
DIA,1,0.05820377,0.94179623
DIA,1,0.05613027,0.94386973
DIA,1,0.06089753,0.93910247
DIA,1,0.08177396,0.91822604
DIA,1,0.05895563,0.94104437
DIA,1,0.05677420,0.94322580
DIA,1,0.07470269,0.92529731
DIA,1,0.29191319,0.70808681
DIA,1,0.06181391,0.93818609
DIA,1,0.05613245,0.94386755
DIA,1,0.05624598,0.94375402
DIA,1,0.05635816,0.94364184
DIA,1,0.05720946,0.94279054
DIA,1,0.06341131,0.93658869
DIA,1,0.05691152,0.94308848
DIA,1,0.08273695,0.91726305
DIA,1,0.05649442,0.94350558
DIA,1,0.09769638,0.90230362
DIA,1,0.05777973,0.94222027
DIA,1,0.05892730,0.94107270
DIA,1,0.08916689,0.91083311
DIA,1,0.05944790,0.94055210
DIA,1,0.07160888,0.92839112
DIA,1,0.06885899,0.93114101
DIA,1,0.06205222,0.93794778
DIA,1,0.06377763,0.93622237
DIA,1,0.05812764,0.94187236
DIA,1,0.05825738,0.94174262
DIA,1,0.09872976,0.90127024
DIA,1,0.06158680,0.93841320
DIA,1,0.05697406,0.94302594
DIA,1,0.19672507,0.80327493
DIA,1,0.05712684,0.94287316
DIA,1,0.07157657,0.92842343
DIA,1,0.05806253,0.94193747
DIA,1,0.08521362,0.91478638
DIA,1,0.05744518,0.94255482
DIA,1,0.05903277,0.94096723
DIA,1,0.05894682,0.94105318
DIA,1,0.05852873,0.94147127
DIA,1,0.05698113,0.94301887
DIA,1,0.17590877,0.82409123
DIA,1,0.07097047,0.92902953
DIA,1,0.05653272,0.94346728
DIA,1,0.05799663,0.94200337
DIA,1,0.06018590,0.93981410
DIA,1,0.06119383,0.93880617
DIA,1,0.05844402,0.94155598
DIA,1,0.09312208,0.90687792
DIA,1,0.05619878,0.94380122
DIA,1,0.05668886,0.94331114
DIA,1,0.06005183,0.93994817
DIA,1,0.05662770,0.94337230
DIA,1,0.05899178,0.94100822
DIA,1,0.05857104,0.94142896
DIA,1,0.05933831,0.94066169
DIA,1,0.05976284,0.94023716
DIA,1,0.06405378,0.93594622
DIA,1,0.07725198,0.92274802
DIA,1,0.07438136,0.92561864
DIA,1,0.11475137,0.88524863
DIA,1,0.09940816,0.90059184
DIA,1,0.05615233,0.94384767
DIA,1,0.05613784,0.94386216
DIA,1,0.06153893,0.93846107
DIA,1,0.05756587,0.94243413
DIA,1,0.05663594,0.94336406
DIA,1,0.05981209,0.94018791
DIA,1,0.12690870,0.87309130
DIA,1,0.05838749,0.94161251
