dataset,p,component_1,component_2
SPY,4,0.10402683,0.89597317
SPY,4,0.06837828,0.93162172
SPY,4,0.06933837,0.93066163
SPY,4,0.06828897,0.93171103
SPY,4,0.06865931,0.93134069
SPY,4,0.09892036,0.90107964
SPY,4,0.06877356,0.93122644
SPY,4,0.08145512,0.91854488
SPY,4,0.06829156,0.93170844
SPY,4,0.06853583,0.93146417
SPY,4,0.07181453,0.92818547
SPY,4,0.06868706,0.93131294
SPY,4,0.10975192,0.89024808
SPY,4,0.06917843,0.93082157
SPY,4,0.07295456,0.92704544
SPY,4,0.09139929,0.90860071
SPY,4,0.07552718,0.92447282
SPY,4,0.07818133,0.92181867
SPY,4,0.09098949,0.90901051
SPY,4,0.07601635,0.92398365
SPY,4,0.08321018,0.91678982
SPY,4,0.08465301,0.91534699
SPY,4,0.07137004,0.92862996
SPY,4,0.06859111,0.93140889
SPY,4,0.11006014,0.88993986
SPY,4,0.14134966,0.85865034
SPY,4,0.09013684,0.90986316
SPY,4,0.09501161,0.90498839
SPY,4,0.07529337,0.92470663
SPY,4,0.10216599,0.89783401
SPY,4,0.10192627,0.89807373
SPY,4,0.07069408,0.92930592
SPY,4,0.07291547,0.92708453
SPY,4,0.07538976,0.92461024
SPY,4,0.11528209,0.88471791
SPY,4,0.07925199,0.92074801
SPY,4,0.06816520,0.93183480
SPY,4,0.06859065,0.93140935
SPY,4,0.09108206,0.90891794
SPY,4,0.12405749,0.87594251
SPY,4,0.09137540,0.90862460
SPY,4,0.07613911,0.92386089
SPY,4,0.07973149,0.92026851
SPY,4,0.10530994,0.89469006
SPY,4,0.07053583,0.92946417
SPY,4,0.07137112,0.92862888
SPY,4,0.06822618,0.93177382
SPY,4,0.15282434,0.84717566
SPY,4,0.07079583,0.92920417
SPY,4,0.06975257,0.93024743
SPY,4,0.06874644,0.93125356
SPY,4,0.19939715,0.80060285
SPY,4,0.10737563,0.89262437
SPY,4,0.07367067,0.92632933
SPY,4,0.07953904,0.92046096
SPY,4,0.07368637,0.92631363
SPY,4,0.07945595,0.92054405
SPY,4,0.07128135,0.92871865
SPY,4,0.08860802,0.91139198
SPY,4,0.09254865,0.90745135
SPY,4,0.09107224,0.90892776
SPY,4,0.62377560,0.37622440
SPY,4,0.10964286,0.89035714
SPY,4,0.12770652,0.87229348
SPY,4,0.07561601,0.92438399
SPY,4,0.07444773,0.92555227
SPY,4,0.08514605,0.91485395
SPY,4,0.06816583,0.93183417
SPY,4,0.06840029,0.93159971
SPY,4,0.06886606,0.93113394
SPY,4,0.15474385,0.84525615
SPY,4,0.07618783,0.92381217
SPY,4,0.11889859,0.88110141
SPY,4,0.07243708,0.92756292
SPY,4,0.07531117,0.92468883
SPY,4,0.40254126,0.59745874
SPY,4,0.31304408,0.68695592
SPY,4,0.07641355,0.92358645
SPY,4,0.06928224,0.93071776
SPY,4,0.07186975,0.92813025
SPY,4,0.16868637,0.83131363
SPY,4,0.06927843,0.93072157
SPY,4,0.07339745,0.92660255
SPY,4,0.09767967,0.90232033
SPY,4,0.06902105,0.93097895
SPY,4,0.07117006,0.92882994
SPY,4,0.11409491,0.88590509
SPY,4,0.07098915,0.92901085
SPY,4,0.11208214,0.88791786
SPY,4,0.08187220,0.91812780
SPY,4,0.12749694,0.87250306
SPY,4,0.16548907,0.83451093
SPY,4,0.08437499,0.91562501
SPY,4,0.07359234,0.92640766
SPY,4,0.10898044,0.89101956
SPY,4,0.14850676,0.85149324
SPY,4,0.09678385,0.90321615
SPY,4,0.17103891,0.82896109
SPY,4,0.06942850,0.93057150
SPY,4,0.10946686,0.89053314
SPY,4,0.06858939,0.93141061
SPY,4,0.11348525,0.88651475
