dataset,p,component_1,component_2
IWN,4,0.04697875,0.95302125
IWN,4,0.04519062,0.95480938
IWN,4,0.06722929,0.93277071
IWN,4,0.10351810,0.89648190
IWN,4,0.07167581,0.92832419
IWN,4,0.09298037,0.90701963
IWN,4,0.11751765,0.88248235
IWN,4,0.12124624,0.87875376
IWN,4,0.04836859,0.95163141
IWN,4,0.06000189,0.93999811
IWN,4,0.05618692,0.94381308
IWN,4,0.04528155,0.95471845
IWN,4,0.05810648,0.94189352
IWN,4,0.07616167,0.92383833
IWN,4,0.07278581,0.92721419
IWN,4,0.04524271,0.95475729
IWN,4,0.04760868,0.95239132
IWN,4,0.14183776,0.85816224
IWN,4,0.04519165,0.95480835
IWN,4,0.06512297,0.93487703
IWN,4,0.05555390,0.94444610
IWN,4,0.13309517,0.86690483
IWN,4,0.05977705,0.94022295
IWN,4,0.04537638,0.95462362
IWN,4,0.05064398,0.94935602
IWN,4,0.04624273,0.95375727
IWN,4,0.04526979,0.95473021
IWN,4,0.09318786,0.90681214
IWN,4,0.13257309,0.86742691
IWN,4,0.16261882,0.83738118
IWN,4,0.13139674,0.86860326
IWN,4,0.05240057,0.94759943
IWN,4,0.04880580,0.95119420
IWN,4,0.04989733,0.95010267
IWN,4,0.05589511,0.94410489
IWN,4,0.18424098,0.81575902
IWN,4,0.09546073,0.90453927
IWN,4,0.04516589,0.95483411
IWN,4,0.12210608,0.87789392
IWN,4,0.04780181,0.95219819
IWN,4,0.04764374,0.95235626
IWN,4,0.04530206,0.95469794
IWN,4,0.04516633,0.95483367
IWN,4,0.05048712,0.94951288
IWN,4,0.05058705,0.94941295
IWN,4,0.04625481,0.95374519
IWN,4,0.04965538,0.95034462
IWN,4,0.05474546,0.94525454
IWN,4,0.06266912,0.93733088
IWN,4,0.06575705,0.93424295
IWN,4,0.05392358,0.94607642
IWN,4,0.07050001,0.92949999
IWN,4,0.06687134,0.93312866
IWN,4,0.09856750,0.90143250
IWN,4,0.06127738,0.93872262
IWN,4,0.04595826,0.95404174
IWN,4,0.04655196,0.95344804
IWN,4,0.04826992,0.95173008
IWN,4,0.04516791,0.95483209
IWN,4,0.05021084,0.94978916
IWN,4,0.07803185,0.92196815
IWN,4,0.04857592,0.95142408
IWN,4,0.13463516,0.86536484
IWN,4,0.08322548,0.91677452
IWN,4,0.23021330,0.76978670
IWN,4,0.05009120,0.94990880
IWN,4,0.12056103,0.87943897
IWN,4,0.05094850,0.94905150
IWN,4,0.04794633,0.95205367
IWN,4,0.04546113,0.95453887
IWN,4,0.06373162,0.93626838
IWN,4,0.04558538,0.95441462
IWN,4,0.05525761,0.94474239
IWN,4,0.05673044,0.94326956
IWN,4,0.10769378,0.89230622
IWN,4,0.04571667,0.95428333
IWN,4,0.14304413,0.85695587
IWN,4,0.05301279,0.94698721
IWN,4,0.07169676,0.92830324
IWN,4,0.04754756,0.95245244
IWN,4,0.09931802,0.90068198
IWN,4,0.05310091,0.94689909
IWN,4,0.11582484,0.88417516
IWN,4,0.11973103,0.88026897
IWN,4,0.16165377,0.83834623
IWN,4,0.07655274,0.92344726
IWN,4,0.34793987,0.65206013
IWN,4,0.04606639,0.95393361
IWN,4,0.08931236,0.91068764
IWN,4,0.04673713,0.95326287
IWN,4,0.07789903,0.92210097
IWN,4,0.07615308,0.92384692
IWN,4,0.04924738,0.95075262
IWN,4,0.11096166,0.88903834
IWN,4,0.07069628,0.92930372
IWN,4,0.04698139,0.95301861
IWN,4,0.06307219,0.93692781
IWN,4,0.04542687,0.95457313
IWN,4,0.04528985,0.95471015
IWN,4,0.36914842,0.63085158
IWN,4,0.04582077,0.95417923
IWN,4,0.04692838,0.95307162
IWN,4,0.16206998,0.83793002
IWN,4,0.09216244,0.90783756
IWN,4,0.05051451,0.94948549
IWN,4,0.05487839,0.94512161
IWN,4,0.04603732,0.95396268
IWN,4,0.10413493,0.89586507
IWN,4,0.05150748,0.94849252
IWN,4,0.41021016,0.58978984
IWN,4,0.04604674,0.95395326
IWN,4,0.15008051,0.84991949
IWN,4,0.04607395,0.95392605
IWN,4,0.05056141,0.94943859
IWN,4,0.04819349,0.95180651
IWN,4,0.08327490,0.91672510
IWN,4,0.04801455,0.95198545
IWN,4,0.05833727,0.94166273
IWN,4,0.04664436,0.95335564
IWN,4,0.14674592,0.85325408
IWN,4,0.74628611,0.25371389
IWN,4,0.08576964,0.91423036
IWN,4,0.04516635,0.95483365
IWN,4,0.10529747,0.89470253
IWN,4,0.06167686,0.93832314
IWN,4,0.28736856,0.71263144
IWN,4,0.07104121,0.92895879
IWN,4,0.07364977,0.92635023
IWN,4,0.05747350,0.94252650
IWN,4,0.08556718,0.91443282
IWN,4,0.05204433,0.94795567
IWN,4,0.65724921,0.34275079
IWN,4,0.41002277,0.58997723
IWN,4,0.24432009,0.75567991
IWN,4,0.99873216,0.00126784
IWN,4,0.98718241,0.01281759
IWN,4,0.04671291,0.95328709
IWN,4,0.20927647,0.79072353
IWN,4,0.98938762,0.01061238
IWN,4,0.04519746,0.95480254
IWN,4,0.18272332,0.81727668
IWN,4,0.05541033,0.94458967
IWN,4,0.65821268,0.34178732
IWN,4,0.21194832,0.78805168
IWN,4,0.72016718,0.27983282
IWN,4,0.08097881,0.91902119
IWN,4,0.09413730,0.90586270
IWN,4,0.04546421,0.95453579
IWN,4,0.04684386,0.95315614
IWN,4,0.48948755,0.51051245
IWN,4,0.45386664,0.54613336
IWN,4,0.04788941,0.95211059
IWN,4,0.06861329,0.93138671
IWN,4,0.05214401,0.94785599
IWN,4,0.05118115,0.94881885
IWN,4,0.06706829,0.93293171
IWN,4,0.21960487,0.78039513
IWN,4,0.10997050,0.89002950
IWN,4,0.04619872,0.95380128
IWN,4,0.06135988,0.93864012
IWN,4,0.67294563,0.32705437
IWN,4,0.04630539,0.95369461
IWN,4,0.04625371,0.95374629
IWN,4,0.19136793,0.80863207
IWN,4,0.04539901,0.95460099
IWN,4,0.18499375,0.81500625
IWN,4,0.05527567,0.94472433
IWN,4,0.04721541,0.95278459
IWN,4,0.04516664,0.95483336
IWN,4,0.12149452,0.87850548
IWN,4,0.06693154,0.93306846
IWN,4,0.06709353,0.93290647
IWN,4,0.04965818,0.95034182
IWN,4,0.13987280,0.86012720
IWN,4,0.27543394,0.72456606
IWN,4,0.05080148,0.94919852
IWN,4,0.25742364,0.74257636
IWN,4,0.06378218,0.93621782
IWN,4,0.16463680,0.83536320
IWN,4,0.33385220,0.66614780
IWN,4,0.51453809,0.48546191
IWN,4,0.05183392,0.94816608
IWN,4,0.17905255,0.82094745
IWN,4,0.08436140,0.91563860
IWN,4,0.07228857,0.92771143
IWN,4,0.13265972,0.86734028
IWN,4,0.83638340,0.16361660
IWN,4,0.05957744,0.94042256
IWN,4,0.99959111,0.00040889
IWN,4,0.05254580,0.94745420
IWN,4,0.99976027,0.00023973
IWN,4,0.05201910,0.94798090
IWN,4,0.56393129,0.43606871
IWN,4,0.19017471,0.80982529
IWN,4,0.40938067,0.59061933
IWN,4,0.04921039,0.95078961
IWN,4,0.07691337,0.92308663
IWN,4,0.09452015,0.90547985
IWN,4,0.06001212,0.93998788
IWN,4,0.04606349,0.95393651
IWN,4,0.06567998,0.93432002
IWN,4,0.04533717,0.95466283
IWN,4,0.05149755,0.94850245
IWN,4,0.14173793,0.85826207
IWN,4,0.04546956,0.95453044
IWN,4,0.08572272,0.91427728
IWN,4,0.11189666,0.88810334
IWN,4,0.04576773,0.95423227
IWN,4,0.06315246,0.93684754
IWN,4,0.05458270,0.94541730
IWN,4,0.18489953,0.81510047
IWN,4,0.19723730,0.80276270
IWN,4,0.09051156,0.90948844
