dataset,p,component_1,component_2
QQQ,2,0.17747942,0.82252058
QQQ,2,0.14116304,0.85883696
QQQ,2,0.51158667,0.48841333
QQQ,2,0.81671928,0.18328072
QQQ,2,0.25645223,0.74354777
QQQ,2,0.99704007,0.00295993
QQQ,2,0.96149933,0.03850067
QQQ,2,0.99437629,0.00562371
QQQ,2,0.15694439,0.84305561
QQQ,2,0.99539598,0.00460402
QQQ,2,0.14142711,0.85857289
QQQ,2,0.27596446,0.72403554
QQQ,2,0.52707519,0.47292481
QQQ,2,0.99414206,0.00585794
QQQ,2,0.13735171,0.86264829
QQQ,2,0.17445630,0.82554370
QQQ,2,0.15867449,0.84132551
QQQ,2,0.14647989,0.85352011
QQQ,2,0.14548377,0.85451623
QQQ,2,0.28105465,0.71894535
QQQ,2,0.99401541,0.00598459
QQQ,2,0.21141260,0.78858740
QQQ,2,0.95735236,0.04264764
QQQ,2,0.99998666,0.00001334
QQQ,2,0.47069319,0.52930681
QQQ,2,0.99996455,0.00003545
QQQ,2,0.95691254,0.04308746
QQQ,2,0.39543141,0.60456859
QQQ,2,0.79820668,0.20179332
QQQ,2,0.27625816,0.72374184
QQQ,2,0.99002832,0.00997168
QQQ,2,0.20966973,0.79033027
QQQ,2,0.13405726,0.86594274
QQQ,2,0.13964963,0.86035037
QQQ,2,0.35857765,0.64142235
QQQ,2,0.92735272,0.07264728
QQQ,2,0.99423711,0.00576289
QQQ,2,0.27584137,0.72415863
QQQ,2,0.17988951,0.82011049
QQQ,2,0.39818100,0.60181900
QQQ,2,0.65470417,0.34529583
QQQ,2,0.39947225,0.60052775
QQQ,2,0.51474452,0.48525548
QQQ,2,0.35752361,0.64247639
QQQ,2,0.13391979,0.86608021
QQQ,2,0.30038841,0.69961159
QQQ,2,0.89182344,0.10817656
QQQ,2,0.19785965,0.80214035
QQQ,2,0.89894191,0.10105809
QQQ,2,0.99186839,0.00813161
QQQ,2,0.78678663,0.21321337
QQQ,2,0.12289754,0.87710246
QQQ,2,0.42994172,0.57005828
QQQ,2,0.64160139,0.35839861
QQQ,2,0.37102376,0.62897624
QQQ,2,0.30197897,0.69802103
QQQ,2,0.95277222,0.04722778
QQQ,2,0.64418875,0.35581125
QQQ,2,0.70683473,0.29316527
QQQ,2,0.36593063,0.63406937
QQQ,2,0.22914937,0.77085063
QQQ,2,0.32946452,0.67053548
QQQ,2,0.57819792,0.42180208
QQQ,2,0.26132651,0.73867349
QQQ,2,0.99999205,0.00000795
QQQ,2,0.30767128,0.69232872
QQQ,2,0.15922680,0.84077320
QQQ,2,0.95443606,0.04556394
QQQ,2,0.92809883,0.07190117
QQQ,2,0.33329322,0.66670678
QQQ,2,0.58664207,0.41335793
QQQ,2,0.12413207,0.87586793
QQQ,2,0.68724433,0.31275567
QQQ,2,0.31825644,0.68174356
QQQ,2,0.41079817,0.58920183
QQQ,2,0.16828625,0.83171375
QQQ,2,0.27942066,0.72057934
QQQ,2,0.14054055,0.85945945
QQQ,2,0.12439146,0.87560854
QQQ,2,0.26238272,0.73761728
QQQ,2,0.20879429,0.79120571
QQQ,2,0.13249372,0.86750628
QQQ,2,0.13525974,0.86474026
QQQ,2,0.37635326,0.62364674
QQQ,2,0.19267596,0.80732404
QQQ,2,0.20323822,0.79676178
QQQ,2,0.18296374,0.81703626
QQQ,2,0.99860693,0.00139307
QQQ,2,0.12510702,0.87489298
QQQ,2,0.89182255,0.10817745
QQQ,2,0.12248000,0.87752000
QQQ,2,0.84778080,0.15221920
QQQ,2,0.48130545,0.51869455
QQQ,2,0.52228704,0.47771296
QQQ,2,0.53310278,0.46689722
QQQ,2,0.13986990,0.86013010
QQQ,2,0.13232133,0.86767867
QQQ,2,0.15346892,0.84653108
QQQ,2,0.48999268,0.51000732
QQQ,2,0.30404698,0.69595302
QQQ,2,0.20827750,0.79172250
QQQ,2,0.25547336,0.74452664
QQQ,2,0.19915491,0.80084509
QQQ,2,0.96723710,0.03276290
QQQ,2,0.20131812,0.79868188
QQQ,2,0.99976729,0.00023271
QQQ,2,0.19139476,0.80860524
QQQ,2,0.15808024,0.84191976
QQQ,2,0.20612001,0.79387999
QQQ,2,0.24422858,0.75577142
QQQ,2,0.30812683,0.69187317
QQQ,2,0.97115503,0.02884497
QQQ,2,0.18230862,0.81769138
QQQ,2,0.71005227,0.28994773
QQQ,2,0.33396205,0.66603795
QQQ,2,0.19393462,0.80606538
QQQ,2,0.34320367,0.65679633
QQQ,2,0.19099312,0.80900688
QQQ,2,0.15574461,0.84425539
QQQ,2,0.12648390,0.87351610
QQQ,2,0.99989109,0.00010891
QQQ,2,0.12512120,0.87487880
QQQ,2,0.23061912,0.76938088
QQQ,2,0.26438977,0.73561023
QQQ,2,0.22628552,0.77371448
QQQ,2,0.20876006,0.79123994
QQQ,2,0.14020498,0.85979502
QQQ,2,0.54071916,0.45928084
QQQ,2,0.12352771,0.87647229
QQQ,2,0.92553911,0.07446089
QQQ,2,0.13205304,0.86794696
QQQ,2,0.70638798,0.29361202
QQQ,2,0.18262131,0.81737869
QQQ,2,0.99968982,0.00031018
QQQ,2,0.12265086,0.87734914
QQQ,2,0.13879249,0.86120751
