parameter,target,value
intercept,SPY,0.05289570
lag1_SPY,SPY,-0.68797789
lag1_QQQ,SPY,0.22581640
lag1_DIA,SPY,0.29289871
lag1_IWN,SPY,0.10485085
lag2_SPY,SPY,0.50929668
lag2_QQQ,SPY,-0.12959667
lag2_DIA,SPY,-0.24777214
lag2_IWN,SPY,-0.07547605
intercept,QQQ,0.04899993
lag1_SPY,QQQ,-0.64438588
lag1_QQQ,QQQ,0.16670115
lag1_DIA,QQQ,0.34998608
lag1_IWN,QQQ,0.09313252
lag2_SPY,QQQ,0.63499012
lag2_QQQ,QQQ,-0.14664890
lag2_DIA,QQQ,-0.29924134
lag2_IWN,QQQ,-0.12381991
intercept,DIA,0.04504187
lag1_SPY,DIA,-0.38816723
lag1_QQQ,DIA,0.12046789
lag1_DIA,DIA,0.14727702
lag1_IWN,DIA,0.10074769
lag2_SPY,DIA,0.57078315
lag2_QQQ,DIA,-0.17768090
lag2_DIA,DIA,-0.29063456
lag2_IWN,DIA,-0.04155713
intercept,IWN,0.05099475
lag1_SPY,IWN,-0.45719359
lag1_QQQ,IWN,0.07601603
lag1_DIA,IWN,0.11544912
lag1_IWN,IWN,0.16368690
lag2_SPY,IWN,0.70137919
lag2_QQQ,IWN,-0.23070709
lag2_DIA,IWN,-0.32655511
lag2_IWN,IWN,-0.09467972
sigma_SPY,SPY,1.16012298
sigma_QQQ,SPY,1.41455712
sigma_DIA,SPY,0.92396225
sigma_IWN,SPY,1.12738744
sigma_SPY,QQQ,1.41455712
sigma_QQQ,QQQ,1.86074760
sigma_DIA,QQQ,1.02622536
sigma_IWN,QQQ,1.25953989
sigma_SPY,DIA,0.92396225
sigma_QQQ,DIA,1.02622536
sigma_DIA,DIA,0.90563697
sigma_IWN,DIA,1.06424481
sigma_SPY,IWN,1.12738744
sigma_QQQ,IWN,1.25953989
sigma_DIA,IWN,1.06424481
sigma_IWN,IWN,1.74818341
