parameter,target,value,nu
intercept,SPY,0.11686882,5.00000000
lag1_SPY,SPY,-0.27993812,5.00000000
lag1_QQQ,SPY,0.06499012,5.00000000
lag1_DIA,SPY,0.10043470,5.00000000
lag1_IWN,SPY,0.05750184,5.00000000
lag2_SPY,SPY,0.32353450,5.00000000
lag2_QQQ,SPY,-0.12142386,5.00000000
lag2_DIA,SPY,-0.08701149,5.00000000
lag2_IWN,SPY,-0.03348050,5.00000000
intercept,QQQ,0.14529008,5.00000000
lag1_SPY,QQQ,-0.21206774,5.00000000
lag1_QQQ,QQQ,-0.00256594,5.00000000
lag1_DIA,QQQ,0.12048778,5.00000000
lag1_IWN,QQQ,0.06100094,5.00000000
lag2_SPY,QQQ,0.43319425,5.00000000
lag2_QQQ,QQQ,-0.15175159,5.00000000
lag2_DIA,QQQ,-0.14550150,5.00000000
lag2_IWN,QQQ,-0.04950234,5.00000000
intercept,DIA,0.06349860,5.00000000
lag1_SPY,DIA,-0.16473977,5.00000000
lag1_QQQ,DIA,0.02212872,5.00000000
lag1_DIA,DIA,0.03496503,5.00000000
lag1_IWN,DIA,0.05382310,5.00000000
lag2_SPY,DIA,0.36028573,5.00000000
lag2_QQQ,DIA,-0.14429152,5.00000000
lag2_DIA,DIA,-0.10718266,5.00000000
lag2_IWN,DIA,-0.02226743,5.00000000
intercept,IWN,0.07377515,5.00000000
lag1_SPY,IWN,-0.15100948,5.00000000
lag1_QQQ,IWN,-0.03142056,5.00000000
lag1_DIA,IWN,0.04876737,5.00000000
lag1_IWN,IWN,0.03884053,5.00000000
lag2_SPY,IWN,0.40982616,5.00000000
lag2_QQQ,IWN,-0.17389906,5.00000000
lag2_DIA,IWN,-0.13477623,5.00000000
lag2_IWN,IWN,-0.06719154,5.00000000
sigma_SPY,SPY,0.46971938,5.00000000
sigma_QQQ,SPY,0.60783000,5.00000000
sigma_DIA,SPY,0.36980428,5.00000000
sigma_IWN,SPY,0.48357481,5.00000000
sigma_SPY,QQQ,0.60783000,5.00000000
sigma_QQQ,QQQ,0.87701160,5.00000000
sigma_DIA,QQQ,0.40656993,5.00000000
sigma_IWN,QQQ,0.52512140,5.00000000
sigma_SPY,DIA,0.36980428,5.00000000
sigma_QQQ,DIA,0.40656993,5.00000000
sigma_DIA,DIA,0.40753713,5.00000000
sigma_IWN,DIA,0.50182442,5.00000000
sigma_SPY,IWN,0.48357481,5.00000000
sigma_QQQ,IWN,0.52512140,5.00000000
sigma_DIA,IWN,0.50182442,5.00000000
sigma_IWN,IWN,0.98030017,5.00000000
